"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","2","6","a","1594","4","114"
"incongruent","1","4","8","l","785","4","114"
"incongruent","1","4","4","a","1041","8","114"
"incongruent","1","1","2","a","990","3","114"
"incongruent","1","2","4","a","893","6","114"
"congruent","1","2","4","a","930","2","114"
"congruent","1","3","2","l","762","5","114"
"incongruent","1","3","5","l","989","2","114"
"congruent","1","3","4","l","716","7","114"
"incongruent","1","2","4","l","1100","2","114"
"congruent","1","2","4","l","848","6","114"
"congruent","1","3","3","l","731","6","114"
"congruent","1","4","7","a","544","3","114"
"incongruent","1","4","6","l","592","2","114"
"congruent","1","4","2","l","2815","6","114"
"incongruent","1","3","4","a","812","7","114"
"congruent","1","4","8","a","814","4","114"
"incongruent","1","1","4","l","938","3","114"
"incongruent","1","3","3","a","731","6","114"
"incongruent","1","3","7","l","1500","4","114"
"congruent","1","1","4","l","1357","5","114"
"congruent","1","2","6","a","671","4","114"
"incongruent","1","1","4","a","915","5","114"
"incongruent","1","1","2","a","748","3","114"
"incongruent","1","2","5","l","942","3","114"
"congruent","1","4","7","a","542","3","114"
"incongruent","1","4","2","a","670","6","114"
"congruent","1","3","3","l","542","6","114"
"congruent","1","1","4","a","466","3","114"
"incongruent","1","2","2","a","415","4","114"
"congruent","0","4","2","a","445","6","114"
"incongruent","1","2","6","l","864","4","114"
"incongruent","1","2","4","a","687","6","114"
"incongruent","1","2","3","a","816","5","114"
"incongruent","1","2","5","l","550","3","114"
"incongruent","1","4","2","a","640","6","114"
"congruent","1","2","3","l","603","5","114"
"incongruent","1","3","6","l","684","3","114"
"incongruent","1","1","3","l","973","2","114"
"congruent","1","1","3","l","799","4","114"
"incongruent","1","4","4","a","555","8","114"
"incongruent","1","1","3","l","511","2","114"
"congruent","1","2","4","a","439","2","114"
"congruent","1","3","7","a","428","4","114"
"congruent","1","1","2","l","660","3","114"
"incongruent","0","4","6","a","380","2","114"
"incongruent","1","3","2","a","611","5","114"
"incongruent","1","3","2","a","507","5","114"
"incongruent","1","1","3","a","959","4","114"
"congruent","1","1","5","a","800","4","114"
"congruent","1","4","3","l","446","7","114"
"congruent","1","2","5","a","900","3","114"
"congruent","1","4","4","l","974","8","114"
"incongruent","1","2","2","a","606","4","114"
"congruent","1","3","4","l","556","7","114"
"incongruent","0","4","7","a","477","3","114"
"congruent","1","1","5","a","589","4","114"
"congruent","1","1","3","l","780","4","114"
"incongruent","1","4","3","a","515","7","114"
"congruent","1","4","4","l","622","8","114"
"congruent","1","3","6","a","476","3","114"
"congruent","1","1","4","a","592","3","114"
"congruent","1","3","5","a","447","2","114"
"incongruent","1","1","5","l","508","4","114"
"incongruent","1","3","3","a","582","6","114"
"congruent","1","3","5","a","742","2","114"
"congruent","1","4","3","l","543","7","114"
"congruent","1","1","3","a","544","2","114"
"congruent","1","1","2","l","575","3","114"
"incongruent","0","3","5","a","624","2","114"
"incongruent","1","1","4","a","580","5","114"
"incongruent","1","3","6","l","1155","3","114"
"incongruent","1","1","3","a","643","4","114"
"congruent","1","2","4","l","569","6","114"
"congruent","1","1","3","a","508","2","114"
"congruent","1","2","2","l","506","4","114"
"incongruent","1","4","3","a","590","7","114"
"congruent","1","1","4","l","895","5","114"
"incongruent","1","4","7","l","801","3","114"
"incongruent","0","3","7","a","527","4","114"
"incongruent","1","3","4","a","3262","7","114"
"congruent","1","3","2","l","617","5","114"
"incongruent","1","2","4","l","720","2","114"
"congruent","1","4","6","a","562","2","114"
"incongruent","1","2","6","l","674","4","114"
"congruent","1","3","6","a","542","3","114"
"incongruent","1","1","5","l","672","4","114"
"congruent","1","4","6","a","563","2","114"
"incongruent","1","4","8","l","653","4","114"
"congruent","1","2","2","l","784","4","114"
"congruent","1","2","3","l","712","5","114"
"congruent","1","2","5","a","546","3","114"
"incongruent","1","1","4","l","564","3","114"
"congruent","1","3","7","a","508","4","114"
"congruent","1","4","8","a","565","4","114"
"incongruent","0","2","3","l","519","5","114"
"congruent","1","2","2","l","688","4","114"
"congruent","1","1","3","l","493","4","114"
"congruent","1","1","4","l","511","5","114"
"congruent","1","3","4","l","530","7","114"
"congruent","1","1","5","a","554","4","114"
"incongruent","1","1","4","l","397","3","114"
"incongruent","1","4","2","a","474","6","114"
"congruent","1","1","3","l","539","4","114"
"incongruent","1","1","5","l","496","4","114"
"congruent","1","4","6","a","451","2","114"
"congruent","1","1","2","l","545","3","114"
"congruent","1","2","6","a","395","4","114"
"congruent","1","3","7","a","417","4","114"
"congruent","1","1","3","a","479","2","114"
"incongruent","1","2","4","l","419","2","114"
"incongruent","1","2","3","a","450","5","114"
"congruent","1","3","5","a","391","2","114"
"incongruent","1","2","6","l","380","4","114"
"congruent","1","2","4","l","381","6","114"
"incongruent","0","1","3","a","524","2","114"
"congruent","1","3","6","a","972","3","114"
"incongruent","1","1","4","a","404","5","114"
"congruent","1","3","5","a","481","2","114"
"congruent","1","2","3","l","541","5","114"
"congruent","1","4","3","l","382","7","114"
"incongruent","1","3","2","a","492","5","114"
"congruent","1","2","5","a","418","3","114"
"incongruent","1","4","3","a","481","7","114"
"congruent","1","2","4","a","388","2","114"
"incongruent","1","2","6","l","818","4","114"
"congruent","1","4","3","l","616","7","114"
"incongruent","1","1","3","a","452","4","114"
"incongruent","1","3","3","a","684","6","114"
"incongruent","1","3","4","a","374","7","114"
"incongruent","0","4","7","a","415","3","114"
"incongruent","1","3","6","l","562","3","114"
"congruent","1","2","4","l","512","6","114"
"congruent","1","1","3","a","446","2","114"
"incongruent","1","4","6","l","449","2","114"
"incongruent","1","2","4","a","543","6","114"
"congruent","1","2","2","l","528","4","114"
"congruent","1","3","7","a","416","4","114"
"congruent","1","4","7","a","432","3","114"
"incongruent","1","4","7","l","621","3","114"
"congruent","1","3","6","a","484","3","114"
"incongruent","1","3","5","l","590","2","114"
"congruent","1","2","4","a","478","2","114"
"congruent","1","4","2","l","385","6","114"
"incongruent","1","2","5","l","768","3","114"
"congruent","1","4","7","a","433","3","114"
"congruent","1","3","2","l","463","5","114"
"congruent","1","3","3","l","452","6","114"
"incongruent","0","4","6","a","496","2","114"
"congruent","1","4","4","l","559","8","114"
"incongruent","1","2","4","l","1455","2","114"
"congruent","1","1","4","a","533","3","114"
"congruent","1","1","2","l","446","3","114"
"incongruent","1","2","5","l","948","3","114"
"incongruent","1","4","8","l","492","4","114"
"congruent","1","3","2","l","639","5","114"
"congruent","1","2","3","l","589","5","114"
"incongruent","1","2","2","a","500","4","114"
"congruent","1","4","2","l","429","6","114"
"incongruent","0","3","7","a","556","4","114"
"incongruent","0","4","4","l","1762","8","114"
"incongruent","1","4","4","a","544","8","114"
"incongruent","1","3","7","l","739","4","114"
"incongruent","1","1","2","a","477","3","114"
"congruent","1","3","4","l","575","7","114"
"congruent","1","1","5","a","544","4","114"
"incongruent","1","3","6","l","1282","3","114"
"congruent","1","1","4","a","557","3","114"
"incongruent","1","1","4","a","492","5","114"
"congruent","1","4","8","a","1391","4","114"
"congruent","1","3","3","l","430","6","114"
"incongruent","1","3","2","a","492","5","114"
"incongruent","1","3","4","a","737","7","114"
"incongruent","1","2","3","a","833","5","114"
"incongruent","1","3","3","a","2159","6","114"
"incongruent","1","3","5","l","672","2","114"
"incongruent","1","1","3","l","563","2","114"
"incongruent","1","1","2","a","819","3","114"
"congruent","1","4","4","l","561","8","114"
"congruent","1","2","6","a","548","4","114"
"incongruent","1","1","4","l","619","3","114"
"congruent","1","4","6","a","569","2","114"
"congruent","1","1","4","l","536","5","114"
"incongruent","1","2","2","a","409","4","114"
"incongruent","1","4","8","l","385","4","114"
"incongruent","1","1","3","a","624","4","114"
"incongruent","1","4","3","a","525","7","114"
"incongruent","1","4","2","a","527","6","114"
"congruent","1","2","5","a","480","3","114"
"incongruent","1","2","4","a","493","6","114"
"congruent","1","4","8","a","573","4","114"
"incongruent","1","1","5","l","656","4","114"
"incongruent","1","2","2","a","481","4","114"
"congruent","1","4","3","l","379","7","114"
"incongruent","0","3","6","a","531","3","114"
"congruent","1","2","4","l","451","6","114"
"congruent","1","3","2","l","800","5","114"
"congruent","1","2","3","l","430","5","114"
"incongruent","1","2","4","a","443","6","114"
"congruent","1","4","3","l","432","7","114"
"congruent","1","3","6","a","493","3","114"
"incongruent","1","1","2","a","353","3","114"
"incongruent","0","3","4","l","386","7","114"
"incongruent","1","3","3","a","612","6","114"
"congruent","1","3","4","l","444","7","114"
"incongruent","1","2","4","l","787","2","114"
"incongruent","1","1","3","a","553","4","114"
"congruent","1","3","5","a","1011","2","114"
"congruent","1","1","2","l","602","3","114"
"incongruent","1","4","6","l","1743","2","114"
"congruent","1","4","6","a","993","2","114"
"congruent","1","1","4","a","1005","3","114"
"congruent","1","1","4","l","591","5","114"
"incongruent","1","4","3","a","637","7","114"
"incongruent","1","1","3","l","772","2","114"
"incongruent","1","2","2","a","469","4","114"
"congruent","1","1","5","a","686","4","114"
"congruent","1","4","7","a","480","3","114"
"congruent","1","1","4","l","540","5","114"
"congruent","1","2","2","l","1093","4","114"
"incongruent","1","3","4","a","527","7","114"
"incongruent","1","1","3","a","573","4","114"
"incongruent","1","3","5","l","476","2","114"
"incongruent","1","1","4","a","492","5","114"
"congruent","1","1","3","l","563","4","114"
"congruent","1","2","6","a","498","4","114"
"congruent","1","3","3","l","608","6","114"
"incongruent","1","2","4","a","446","6","114"
"incongruent","1","3","7","l","738","4","114"
"congruent","1","2","6","a","420","4","114"
"incongruent","0","4","7","a","499","3","114"
"congruent","0","4","2","a","1058","6","114"
"incongruent","1","3","3","a","541","6","114"
"congruent","1","1","3","l","576","4","114"
"congruent","1","1","2","l","895","3","114"
"incongruent","1","2","4","l","987","2","114"
"incongruent","1","4","4","a","570","8","114"
"incongruent","1","4","4","a","1785","8","114"
"incongruent","0","4","3","l","776","7","114"
"congruent","1","2","2","l","1140","4","114"
"congruent","1","4","6","a","527","2","114"
"incongruent","1","1","2","a","945","3","114"
"congruent","1","2","3","l","675","5","114"
"congruent","1","2","5","a","559","3","114"
"congruent","1","3","5","a","528","2","114"
"incongruent","1","4","8","l","752","4","114"
"incongruent","1","3","2","a","705","5","114"
"incongruent","1","3","2","a","571","5","114"
"congruent","1","3","7","a","761","4","114"
"congruent","1","2","5","a","712","3","114"
"incongruent","1","1","4","a","751","5","114"
"congruent","1","2","4","l","655","6","114"
"incongruent","1","3","5","l","738","2","114"
"congruent","1","1","4","a","428","3","114"
"congruent","1","4","8","a","611","4","114"
"incongruent","1","2","5","l","442","3","114"
"congruent","1","1","3","a","1327","2","114"
"congruent","1","4","8","a","496","4","114"
"congruent","1","2","4","a","434","2","114"
"incongruent","1","3","6","l","544","3","114"
"incongruent","1","2","5","l","656","3","114"
"incongruent","1","2","3","a","478","5","114"
"congruent","1","1","3","a","432","2","114"
"incongruent","1","1","4","l","479","3","114"
"congruent","1","4","4","l","482","8","114"
"congruent","1","1","5","a","416","4","114"
"congruent","1","4","2","l","299","6","114"
"incongruent","1","1","5","l","670","4","114"
"incongruent","1","3","7","l","418","4","114"
"congruent","0","3","7","l","399","4","114"
"incongruent","1","4","2","a","818","6","114"
"incongruent","1","4","8","l","434","4","114"
"congruent","1","4","4","l","432","8","114"
"incongruent","1","2","6","l","365","4","114"
"incongruent","1","4","2","a","397","6","114"
"congruent","1","2","4","a","508","2","114"
"incongruent","1","2","6","l","525","4","114"
"incongruent","1","1","4","l","718","3","114"
"incongruent","1","1","3","l","445","2","114"
"congruent","1","3","6","a","655","3","114"
"congruent","1","3","2","l","787","5","114"
"incongruent","1","4","7","l","403","3","114"
"congruent","1","4","7","a","513","3","114"
"incongruent","1","4","6","l","363","2","114"
"incongruent","1","2","3","a","780","5","114"
"incongruent","1","1","5","l","435","4","114"
"congruent","0","3","3","a","465","6","114"
"congruent","1","3","4","l","395","7","114"
"congruent","1","4","2","l","446","6","114"
"incongruent","1","1","5","l","373","4","114"
"congruent","0","3","7","l","375","4","114"
"congruent","1","2","2","l","582","4","114"
"incongruent","1","3","2","a","531","5","114"
"congruent","1","4","2","l","421","6","114"
"congruent","1","2","4","l","387","6","114"
"congruent","1","1","4","a","514","3","114"
"congruent","1","3","4","l","348","7","114"
"incongruent","1","4","6","l","1358","2","114"
"incongruent","1","1","4","a","734","5","114"
"congruent","1","3","5","a","945","2","114"
"congruent","1","4","8","a","992","4","114"
"congruent","1","2","4","l","607","6","114"
"congruent","1","1","3","l","861","4","114"
"congruent","1","3","2","l","564","5","114"
"congruent","1","4","4","l","482","8","114"
"incongruent","1","1","4","l","750","3","114"
"incongruent","1","1","5","l","592","4","114"
"congruent","1","4","6","a","827","2","114"
"congruent","1","3","6","a","926","3","114"
"incongruent","1","1","3","a","990","4","114"
"incongruent","1","2","4","a","924","6","114"
"incongruent","1","3","4","a","1087","7","114"
"incongruent","1","1","4","l","1460","3","114"
"congruent","1","1","3","a","773","2","114"
"incongruent","1","2","6","l","624","4","114"
"congruent","1","1","5","a","892","4","114"
"congruent","1","4","6","a","672","2","114"
"incongruent","1","1","2","a","884","3","114"
"congruent","1","2","6","a","606","4","114"
"congruent","1","1","5","a","701","4","114"
"incongruent","1","2","3","a","961","5","114"
"incongruent","1","4","4","a","703","8","114"
"congruent","1","2","3","l","676","5","114"
"incongruent","1","4","7","l","1280","3","114"
"incongruent","1","1","3","l","1124","2","114"
"incongruent","1","3","2","a","589","5","114"
"congruent","1","1","3","a","508","2","114"
"congruent","1","3","7","a","472","4","114"
"congruent","1","1","4","l","580","5","114"
"incongruent","1","4","8","l","546","4","114"
"congruent","1","2","5","a","468","3","114"
"congruent","1","3","3","l","479","6","114"
"congruent","1","2","4","a","482","2","114"
"incongruent","1","3","6","l","557","3","114"
"congruent","1","4","4","l","737","8","114"
"incongruent","1","4","8","l","1264","4","114"
"congruent","1","1","2","l","857","3","114"
"incongruent","1","2","4","l","562","2","114"
"incongruent","1","3","5","l","642","2","114"
"incongruent","1","3","4","a","495","7","114"
"congruent","1","4","8","a","497","4","114"
"congruent","1","3","5","a","652","2","114"
"incongruent","1","3","7","l","434","4","114"
"incongruent","1","2","6","l","446","4","114"
"incongruent","1","3","3","a","1013","6","114"
"congruent","1","2","5","a","985","3","114"
"congruent","1","2","6","a","777","4","114"
"incongruent","1","1","3","a","617","4","114"
"incongruent","1","1","3","l","518","2","114"
"congruent","1","4","3","l","432","7","114"
"congruent","1","3","2","l","471","5","114"
"incongruent","1","4","3","a","499","7","114"
"congruent","1","1","4","l","398","5","114"
"incongruent","1","4","6","l","811","2","114"
"incongruent","1","3","6","l","419","3","114"
"congruent","1","1","3","l","463","4","114"
"incongruent","1","2","4","l","492","2","114"
"congruent","1","2","4","a","640","2","114"
"incongruent","1","2","2","a","652","4","114"
"incongruent","1","2","5","l","496","3","114"
"incongruent","1","2","3","a","541","5","114"
"incongruent","0","4","3","l","381","7","114"
"congruent","1","4","3","l","612","7","114"
"incongruent","1","2","4","a","657","6","114"
"incongruent","1","2","2","a","742","4","114"
"incongruent","1","3","5","l","507","2","114"
"incongruent","1","2","5","l","817","3","114"
"congruent","1","4","7","a","606","3","114"
"incongruent","1","4","2","a","702","6","114"
"incongruent","1","3","7","l","656","4","114"
"congruent","1","1","4","a","653","3","114"
"incongruent","1","4","2","a","537","6","114"
"congruent","1","2","2","l","739","4","114"
"incongruent","1","1","4","a","492","5","114"
"congruent","1","4","7","a","608","3","114"
"incongruent","1","1","2","a","621","3","114"
"incongruent","1","4","4","a","524","8","114"
"congruent","1","1","2","l","365","3","114"
"congruent","1","3","4","l","540","7","114"
"congruent","1","3","3","l","1247","6","114"
"incongruent","1","4","7","l","578","3","114"
"congruent","1","3","6","a","507","3","114"
"congruent","1","2","3","l","573","5","114"
"incongruent","1","3","3","a","1203","6","114"
