"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","2","3","l","924","5","109"
"congruent","1","1","4","l","845","5","109"
"congruent","1","2","4","a","506","2","109"
"congruent","1","1","5","a","606","4","109"
"incongruent","1","2","6","l","476","4","109"
"incongruent","1","3","7","l","530","4","109"
"incongruent","1","1","4","a","402","5","109"
"congruent","1","2","6","a","513","4","109"
"congruent","1","3","6","a","491","3","109"
"congruent","1","4","8","a","670","4","109"
"incongruent","1","1","4","l","547","3","109"
"congruent","1","3","7","a","488","4","109"
"congruent","1","4","2","l","480","6","109"
"congruent","1","2","4","a","402","2","109"
"incongruent","1","3","6","l","434","3","109"
"congruent","1","1","4","a","383","3","109"
"congruent","1","4","4","l","539","8","109"
"congruent","1","4","2","l","433","6","109"
"congruent","1","1","5","a","384","4","109"
"incongruent","1","3","4","a","800","7","109"
"incongruent","1","4","4","a","972","8","109"
"congruent","1","2","2","l","484","4","109"
"congruent","1","4","4","l","513","8","109"
"incongruent","1","1","5","l","580","4","109"
"congruent","1","4","7","a","481","3","109"
"incongruent","1","3","7","l","621","4","109"
"congruent","1","3","4","l","692","7","109"
"congruent","1","3","2","l","454","5","109"
"congruent","1","3","2","l","356","5","109"
"incongruent","0","4","6","a","459","2","109"
"incongruent","1","4","7","l","1131","3","109"
"incongruent","1","1","4","a","639","5","109"
"congruent","1","3","4","l","525","7","109"
"congruent","1","2","6","a","526","4","109"
"incongruent","1","3","3","a","689","6","109"
"incongruent","1","4","2","a","1036","6","109"
"incongruent","1","3","2","a","865","5","109"
"congruent","1","3","3","l","557","6","109"
"incongruent","1","2","6","l","541","4","109"
"congruent","1","2","5","a","495","3","109"
"incongruent","1","2","5","l","504","3","109"
"incongruent","1","1","3","l","604","2","109"
"incongruent","1","1","2","a","585","3","109"
"incongruent","1","4","3","a","714","7","109"
"incongruent","1","2","3","a","771","5","109"
"congruent","1","3","6","a","566","3","109"
"congruent","1","3","5","a","667","2","109"
"incongruent","1","4","4","a","766","8","109"
"congruent","1","1","2","l","847","3","109"
"incongruent","1","2","4","l","707","2","109"
"congruent","1","4","3","l","509","7","109"
"congruent","1","1","4","l","675","5","109"
"incongruent","1","4","3","a","524","7","109"
"congruent","1","2","4","l","479","6","109"
"congruent","1","1","3","l","515","4","109"
"incongruent","1","1","3","a","716","4","109"
"incongruent","1","2","4","a","511","6","109"
"congruent","1","3","7","a","449","4","109"
"congruent","1","2","4","l","479","6","109"
"incongruent","1","3","5","l","769","2","109"
"incongruent","1","3","4","a","578","7","109"
"congruent","1","1","3","l","514","4","109"
"incongruent","1","1","3","l","796","2","109"
"congruent","1","1","3","a","484","2","109"
"incongruent","1","3","6","l","576","3","109"
"incongruent","1","4","2","a","526","6","109"
"congruent","1","1","4","a","610","3","109"
"incongruent","1","2","4","l","639","2","109"
"incongruent","1","1","2","a","492","3","109"
"congruent","1","4","3","l","511","7","109"
"congruent","1","2","3","l","546","5","109"
"incongruent","1","2","3","a","437","5","109"
"incongruent","1","2","2","a","592","4","109"
"congruent","1","4","8","a","512","4","109"
"congruent","1","3","5","a","494","2","109"
"incongruent","1","4","8","l","783","4","109"
"incongruent","1","3","2","a","620","5","109"
"congruent","1","3","3","l","531","6","109"
"incongruent","1","1","4","l","748","3","109"
"congruent","1","4","7","a","510","3","109"
"congruent","1","2","2","l","575","4","109"
"congruent","1","2","5","a","414","3","109"
"incongruent","1","4","6","l","525","2","109"
"congruent","1","4","6","a","544","2","109"
