"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","1","2","a","748","3","104"
"incongruent","1","3","6","l","600","3","104"
"congruent","1","1","5","a","702","4","104"
"incongruent","1","4","6","l","540","2","104"
"congruent","1","4","3","l","539","7","104"
"incongruent","1","2","3","a","701","5","104"
"congruent","1","4","8","a","719","4","104"
"incongruent","1","1","3","l","483","2","104"
"congruent","1","4","4","l","575","8","104"
"incongruent","1","4","3","a","924","7","104"
"incongruent","1","1","3","a","689","4","104"
"congruent","1","2","6","a","570","4","104"
"congruent","1","1","4","a","674","3","104"
"incongruent","1","4","4","a","703","8","104"
"incongruent","1","4","4","a","1491","8","104"
"incongruent","1","2","4","l","537","2","104"
"incongruent","1","3","7","l","519","4","104"
"congruent","1","4","2","l","620","6","104"
"congruent","1","1","4","l","548","5","104"
"incongruent","1","4","7","l","731","3","104"
"congruent","1","3","7","a","622","4","104"
"incongruent","1","4","8","l","908","4","104"
"incongruent","1","3","4","a","608","7","104"
"incongruent","1","1","5","l","748","4","104"
"congruent","1","4","7","a","452","3","104"
"congruent","1","3","3","l","626","6","104"
"congruent","1","1","2","l","808","3","104"
"congruent","1","3","5","a","630","2","104"
"incongruent","1","3","7","l","506","4","104"
"congruent","1","3","2","l","854","5","104"
"incongruent","1","3","5","l","743","2","104"
"incongruent","1","4","2","a","480","6","104"
"congruent","1","3","6","a","638","3","104"
"congruent","1","2","3","l","538","5","104"
"congruent","1","2","5","a","669","3","104"
"incongruent","1","4","3","a","481","7","104"
"congruent","1","1","2","l","506","3","104"
"incongruent","1","1","4","a","382","5","104"
"incongruent","1","3","5","l","894","2","104"
"incongruent","1","4","2","a","815","6","104"
"congruent","1","2","6","a","509","4","104"
"incongruent","1","4","8","l","466","4","104"
"congruent","1","3","4","l","751","7","104"
"congruent","1","4","6","a","621","2","104"
"incongruent","1","3","4","a","702","7","104"
"incongruent","1","2","6","l","683","4","104"
"congruent","1","2","4","a","483","2","104"
"congruent","1","1","3","l","419","4","104"
"congruent","1","4","4","l","495","8","104"
"incongruent","1","2","5","l","508","3","104"
"congruent","1","3","3","l","896","6","104"
"incongruent","1","1","4","l","738","3","104"
"congruent","1","4","2","l","899","6","104"
"incongruent","1","3","2","a","607","5","104"
"congruent","1","3","6","a","635","3","104"
"congruent","1","4","3","l","450","7","104"
"congruent","1","2","2","l","497","4","104"
"incongruent","1","3","3","a","436","6","104"
"congruent","1","1","4","a","383","3","104"
"incongruent","1","4","6","l","399","2","104"
"incongruent","1","3","6","l","462","3","104"
"congruent","0","1","3","a","499","4","104"
"congruent","1","1","5","a","664","4","104"
"incongruent","1","1","4","l","814","3","104"
"congruent","1","1","4","l","526","5","104"
"congruent","1","3","5","a","494","2","104"
"incongruent","1","3","2","a","641","5","104"
"incongruent","1","3","3","a","495","6","104"
"incongruent","1","2","4","a","419","6","104"
"congruent","1","2","4","l","544","6","104"
"congruent","1","1","3","a","529","2","104"
"incongruent","1","2","5","l","1012","3","104"
"incongruent","1","1","4","a","530","5","104"
"incongruent","1","2","2","a","436","4","104"
"congruent","1","3","7","a","429","4","104"
"congruent","1","2","4","l","526","6","104"
"congruent","1","4","7","a","450","3","104"
"congruent","1","2","3","l","638","5","104"
"incongruent","1","1","2","a","394","3","104"
