"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","1","2","l","1260","3","108"
"congruent","1","1","2","l","650","3","108"
"incongruent","1","2","4","a","734","6","108"
"congruent","1","2","5","a","702","3","108"
"congruent","1","2","4","l","1114","6","108"
"congruent","1","1","3","l","526","4","108"
"incongruent","1","3","6","l","494","3","108"
"incongruent","1","3","3","a","673","6","108"
"congruent","1","1","4","a","510","3","108"
"congruent","1","4","3","l","544","7","108"
"incongruent","1","2","6","l","513","4","108"
"congruent","1","3","7","a","458","4","108"
"incongruent","1","1","4","l","560","3","108"
"incongruent","1","1","2","a","352","3","108"
"incongruent","1","4","8","l","258","4","108"
"congruent","1","2","4","a","302","2","108"
"congruent","1","4","8","a","604","4","108"
"congruent","1","2","6","a","351","4","108"
"incongruent","1","4","3","a","593","7","108"
"incongruent","1","3","5","l","656","2","108"
"congruent","1","3","4","l","427","7","108"
"congruent","1","2","3","l","498","5","108"
"incongruent","1","4","4","a","445","8","108"
"congruent","1","4","3","l","275","7","108"
"incongruent","1","2","5","l","447","3","108"
"incongruent","1","1","3","a","452","4","108"
"congruent","1","4","2","l","385","6","108"
"incongruent","1","2","4","l","575","2","108"
"incongruent","0","4","7","a","495","3","108"
"incongruent","1","1","2","a","1100","3","108"
"congruent","1","4","6","a","641","2","108"
"congruent","1","4","2","l","477","6","108"
"congruent","1","2","2","l","466","4","108"
"incongruent","1","2","6","l","462","4","108"
"congruent","1","4","7","a","499","3","108"
"incongruent","1","2","2","a","638","4","108"
"congruent","1","4","4","l","595","8","108"
"congruent","1","1","4","l","885","5","108"
"incongruent","1","1","3","l","637","2","108"
"incongruent","1","4","6","l","436","2","108"
"incongruent","1","1","4","l","528","3","108"
"incongruent","1","4","7","l","434","3","108"
"incongruent","1","1","5","l","527","4","108"
"incongruent","1","3","4","a","464","7","108"
"congruent","1","3","2","l","445","5","108"
"incongruent","1","2","3","a","478","5","108"
