"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","3","2","l","1179","5","112"
"incongruent","0","2","4","a","1136","2","112"
"congruent","1","1","3","l","799","4","112"
"incongruent","1","1","3","a","960","4","112"
"incongruent","1","1","4","l","934","3","112"
"incongruent","1","3","4","a","1145","7","112"
"incongruent","1","4","3","a","882","7","112"
"incongruent","1","4","4","a","670","8","112"
"incongruent","1","3","5","l","720","2","112"
"incongruent","0","4","8","a","1051","4","112"
"congruent","1","3","7","a","1073","4","112"
"incongruent","1","2","6","l","778","4","112"
"incongruent","1","3","6","l","933","3","112"
"congruent","1","1","3","l","731","4","112"
"congruent","1","2","4","l","1422","6","112"
"congruent","1","1","3","a","737","2","112"
"congruent","1","1","4","a","695","3","112"
"incongruent","1","3","6","l","560","3","112"
"incongruent","1","3","7","l","775","4","112"
"congruent","1","4","6","a","655","2","112"
"incongruent","1","4","7","l","755","3","112"
"incongruent","1","4","2","a","868","6","112"
"congruent","1","4","2","l","736","6","112"
"incongruent","1","4","6","l","1083","2","112"
"incongruent","1","4","6","l","715","2","112"
"congruent","1","4","2","l","671","6","112"
"incongruent","1","3","2","a","804","5","112"
"incongruent","1","2","4","l","721","2","112"
"incongruent","1","1","4","a","1012","5","112"
"congruent","1","4","7","a","562","3","112"
"incongruent","1","2","5","l","514","3","112"
"congruent","1","1","4","l","890","5","112"
"incongruent","1","3","7","l","977","4","112"
"congruent","1","2","5","a","670","3","112"
"incongruent","1","3","2","a","724","5","112"
"congruent","1","3","3","l","780","6","112"
"incongruent","1","2","3","a","571","5","112"
"incongruent","1","1","5","l","731","4","112"
"incongruent","1","3","5","l","1133","2","112"
"congruent","1","2","6","a","623","4","112"
"congruent","1","3","4","l","605","7","112"
"congruent","1","1","2","l","571","3","112"
"congruent","1","2","4","l","636","6","112"
"congruent","1","3","6","a","512","3","112"
"incongruent","0","2","2","l","492","4","112"
"incongruent","1","4","4","a","577","8","112"
"congruent","1","1","5","a","604","4","112"
"congruent","1","1","2","l","523","3","112"
"incongruent","1","2","6","l","1166","4","112"
"congruent","1","4","7","a","590","3","112"
"incongruent","1","2","5","l","573","3","112"
"congruent","1","1","4","a","589","3","112"
"incongruent","1","1","3","l","1037","2","112"
"congruent","1","3","7","a","513","4","112"
"incongruent","1","1","2","a","435","3","112"
"congruent","1","3","2","l","368","5","112"
"incongruent","1","1","2","a","633","3","112"
"congruent","1","2","4","a","675","2","112"
"congruent","1","2","2","l","415","4","112"
"incongruent","0","2","2","l","695","4","112"
"incongruent","1","1","3","a","1052","4","112"
"incongruent","1","1","3","l","1164","2","112"
"congruent","1","3","5","a","572","2","112"
"incongruent","1","2","3","a","940","5","112"
"congruent","1","3","3","l","591","6","112"
"congruent","1","2","5","a","669","3","112"
"congruent","1","4","4","l","768","8","112"
"congruent","1","2","4","a","482","2","112"
"incongruent","1","3","3","a","652","6","112"
"congruent","1","2","3","l","594","5","112"
"congruent","1","1","4","l","768","5","112"
"congruent","1","2","2","l","688","4","112"
