"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","1","3","a","845","2","120"
"incongruent","1","3","3","a","963","6","120"
"incongruent","1","1","4","a","1468","5","120"
"congruent","1","3","6","a","2487","3","120"
"incongruent","1","4","8","l","614","4","120"
"congruent","1","3","4","l","433","7","120"
"congruent","1","1","3","l","1017","4","120"
"congruent","1","2","4","l","460","6","120"
"incongruent","1","2","2","a","510","4","120"
"incongruent","1","4","4","a","625","8","120"
"congruent","1","3","7","a","1105","4","120"
"congruent","1","2","5","a","547","3","120"
"congruent","1","2","2","l","525","4","120"
"congruent","1","2","4","l","860","6","120"
"incongruent","1","2","6","l","752","4","120"
"incongruent","1","1","2","a","468","3","120"
"congruent","1","1","4","l","363","5","120"
"incongruent","1","4","4","a","583","8","120"
"incongruent","1","1","3","a","472","4","120"
"congruent","1","1","3","a","410","2","120"
"congruent","1","4","2","l","409","6","120"
"congruent","1","4","7","a","341","3","120"
"incongruent","1","3","6","l","424","3","120"
"incongruent","1","2","6","l","463","4","120"
"incongruent","1","4","7","l","451","3","120"
"congruent","1","2","5","a","384","3","120"
"congruent","1","4","2","l","383","6","120"
"incongruent","1","3","5","l","638","2","120"
"incongruent","1","2","4","l","644","2","120"
"congruent","1","2","4","a","514","2","120"
"congruent","1","3","5","a","388","2","120"
"incongruent","0","4","6","a","369","2","120"
"incongruent","1","3","2","a","898","5","120"
"congruent","1","4","4","l","429","8","120"
"incongruent","1","2","3","a","537","5","120"
"congruent","1","1","5","a","515","4","120"
"congruent","1","3","7","a","636","4","120"
"incongruent","1","2","5","l","515","3","120"
"congruent","1","4","4","l","443","8","120"
"congruent","1","4","8","a","465","4","120"
"congruent","1","1","2","l","460","3","120"
"incongruent","1","4","3","a","467","7","120"
"congruent","1","2","6","a","542","4","120"
"congruent","1","1","4","a","463","3","120"
"incongruent","1","4","2","a","435","6","120"
"congruent","1","2","3","l","973","5","120"
"congruent","1","3","4","l","449","7","120"
"incongruent","1","4","2","a","494","6","120"
"incongruent","0","3","4","l","432","7","120"
"congruent","1","4","3","l","615","7","120"
"congruent","1","4","3","l","580","7","120"
"congruent","1","3","2","l","979","5","120"
"congruent","1","4","7","a","468","3","120"
"congruent","1","3","3","l","624","6","120"
"congruent","1","4","6","a","427","2","120"
"incongruent","1","1","5","l","468","4","120"
"incongruent","1","2","5","l","463","3","120"
"incongruent","1","3","7","l","581","4","120"
"congruent","1","1","3","l","531","4","120"
"incongruent","1","2","4","a","445","6","120"
"incongruent","1","3","6","l","610","3","120"
"congruent","1","1","4","a","496","3","120"
"incongruent","1","4","8","l","500","4","120"
"incongruent","1","2","4","a","525","6","120"
"incongruent","1","3","7","l","464","4","120"
"incongruent","1","1","2","a","429","3","120"
"congruent","1","3","5","a","450","2","120"
"incongruent","1","1","3","l","381","2","120"
"congruent","1","2","4","a","413","2","120"
"congruent","1","1","4","l","412","5","120"
"congruent","1","3","3","l","449","6","120"
"congruent","1","2","3","l","529","5","120"
"incongruent","0","1","4","a","449","3","120"
"incongruent","1","1","3","l","548","2","120"
"congruent","1","1","5","a","785","4","120"
"incongruent","1","4","3","a","748","7","120"
"incongruent","1","3","5","l","516","2","120"
"incongruent","1","3","3","a","678","6","120"
"congruent","1","1","2","l","691","3","120"
"incongruent","1","1","4","l","1445","3","120"
"incongruent","1","3","2","a","458","5","120"
"congruent","1","3","2","l","606","5","120"
"congruent","1","4","8","a","476","4","120"
"incongruent","1","1","5","l","465","4","120"
"incongruent","1","4","7","l","1325","3","120"
"congruent","1","2","6","a","574","4","120"
"incongruent","1","4","6","l","463","2","120"
"congruent","1","2","2","l","562","4","120"
"incongruent","1","2","2","a","1156","4","120"
"congruent","1","4","6","a","483","2","120"
"incongruent","1","1","3","a","384","4","120"
"congruent","1","3","6","a","415","3","120"
"incongruent","1","2","3","a","429","5","120"
"incongruent","1","1","4","a","371","5","120"
"incongruent","0","2","4","a","788","2","120"
"incongruent","1","3","4","a","633","7","120"
"congruent","1","4","2","l","494","6","120"
"congruent","1","1","3","a","461","2","120"
"congruent","1","2","6","a","464","4","120"
"congruent","1","1","2","l","733","3","120"
"congruent","1","1","5","a","557","4","120"
"congruent","1","2","2","l","894","4","120"
"incongruent","1","1","5","l","399","4","120"
"congruent","1","1","4","a","573","3","120"
"congruent","1","1","3","a","480","2","120"
"congruent","1","4","2","l","565","6","120"
"incongruent","1","2","4","l","988","2","120"
"congruent","1","1","3","l","482","4","120"
"congruent","1","2","5","a","494","3","120"
"congruent","1","3","6","a","400","3","120"
"incongruent","1","3","5","l","465","2","120"
"incongruent","0","1","3","l","460","4","120"
"incongruent","1","2","2","a","918","4","120"
"congruent","1","4","4","l","448","8","120"
"congruent","1","2","5","a","462","3","120"
"congruent","1","4","8","a","466","4","120"
"congruent","1","1","2","l","926","3","120"
"congruent","1","1","4","a","416","3","120"
"incongruent","0","4","6","a","398","2","120"
"incongruent","1","4","3","a","873","7","120"
"congruent","1","2","4","a","430","2","120"
"incongruent","1","1","3","l","405","2","120"
"congruent","1","1","5","a","483","4","120"
"incongruent","1","1","2","a","447","3","120"
"congruent","1","3","5","a","452","2","120"
"incongruent","1","4","4","a","352","8","120"
"congruent","1","1","4","l","546","5","120"
"congruent","1","4","6","a","361","2","120"
"congruent","1","3","2","l","586","5","120"
"congruent","1","3","6","a","457","3","120"
"congruent","1","3","7","a","422","4","120"
"congruent","1","1","3","l","442","4","120"
"congruent","0","3","4","a","371","7","120"
"congruent","1","2","4","a","430","2","120"
"incongruent","1","1","4","l","420","3","120"
"congruent","1","4","3","l","402","7","120"
"congruent","1","4","3","l","371","7","120"
"incongruent","1","1","3","l","354","2","120"
"congruent","1","3","3","l","306","6","120"
"incongruent","1","2","4","a","525","6","120"
"congruent","1","3","7","a","383","4","120"
