"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","2","2","l","923","4","123"
"incongruent","1","2","6","l","764","4","123"
"incongruent","1","3","7","l","847","4","123"
"incongruent","1","1","4","l","863","3","123"
"congruent","1","4","4","l","898","8","123"
"congruent","1","4","2","l","860","6","123"
"congruent","1","3","7","a","496","4","123"
"congruent","1","2","6","a","523","4","123"
"congruent","1","1","2","l","544","3","123"
"incongruent","1","1","3","a","461","4","123"
"incongruent","1","2","4","a","796","6","123"
"incongruent","1","4","6","l","641","2","123"
"incongruent","1","1","5","l","656","4","123"
"congruent","1","3","7","a","493","4","123"
"congruent","1","1","4","l","831","5","123"
"congruent","1","2","3","l","670","5","123"
"incongruent","1","2","2","a","1181","4","123"
"congruent","1","4","6","a","738","2","123"
"incongruent","1","4","3","a","916","7","123"
"incongruent","1","4","8","l","781","4","123"
"incongruent","1","3","6","l","1229","3","123"
"incongruent","1","4","7","l","994","3","123"
"incongruent","1","2","3","a","770","5","123"
"congruent","1","4","3","l","563","7","123"
"congruent","1","1","4","a","481","3","123"
"incongruent","1","1","4","l","512","3","123"
"incongruent","1","3","3","a","504","6","123"
"congruent","1","3","3","l","610","6","123"
"congruent","1","1","4","l","623","5","123"
"congruent","1","2","4","l","1471","6","123"
"incongruent","1","2","6","l","936","4","123"
"incongruent","1","2","4","l","784","2","123"
"congruent","1","2","4","a","530","2","123"
"congruent","1","2","6","a","633","4","123"
"congruent","1","1","4","a","577","3","123"
"congruent","1","4","7","a","464","3","123"
"incongruent","1","4","7","l","523","3","123"
"incongruent","1","2","2","a","495","4","123"
"congruent","1","3","6","a","535","3","123"
"congruent","1","4","8","a","874","4","123"
"congruent","1","1","2","l","533","3","123"
"incongruent","1","2","3","a","537","5","123"
"incongruent","1","3","2","a","584","5","123"
"incongruent","1","2","5","l","653","3","123"
"congruent","1","2","5","a","446","3","123"
"incongruent","1","3","2","a","910","5","123"
"incongruent","1","4","8","l","779","4","123"
"congruent","1","2","4","a","524","2","123"
"incongruent","1","4","3","a","1007","7","123"
"congruent","1","2","3","l","636","5","123"
"congruent","1","2","5","a","568","3","123"
"congruent","1","1","5","a","561","4","123"
"incongruent","1","1","4","a","452","5","123"
"congruent","1","2","4","l","608","6","123"
"incongruent","1","4","4","a","653","8","123"
"incongruent","1","1","4","a","914","5","123"
"incongruent","1","3","3","a","764","6","123"
"congruent","1","1","3","l","523","4","123"
"congruent","1","4","2","l","559","6","123"
"incongruent","1","1","3","l","929","2","123"
"congruent","1","4","3","l","577","7","123"
"congruent","1","1","3","a","593","2","123"
"congruent","1","3","4","l","543","7","123"
"incongruent","1","3","4","a","657","7","123"
"congruent","1","4","6","a","572","2","123"
"incongruent","1","1","5","l","541","4","123"
"incongruent","1","1","2","a","638","3","123"
"incongruent","1","2","5","l","1012","3","123"
"incongruent","1","3","6","l","1395","3","123"
"incongruent","1","3","7","l","802","4","123"
"congruent","1","2","2","l","737","4","123"
"incongruent","1","4","2","a","719","6","123"
"congruent","1","4","8","a","563","4","123"
"congruent","1","3","2","l","590","5","123"
"incongruent","1","4","6","l","903","2","123"
"incongruent","1","1","3","l","797","2","123"
"incongruent","1","1","3","a","751","4","123"
"incongruent","1","3","5","l","717","2","123"
"congruent","1","3","6","a","495","3","123"
"incongruent","1","3","4","a","754","7","123"
"congruent","1","3","3","l","548","6","123"
"congruent","1","3","5","a","525","2","123"
"incongruent","1","4","2","a","782","6","123"
"congruent","1","3","4","l","590","7","123"
"congruent","1","3","5","a","493","2","123"
"incongruent","1","2","4","a","496","6","123"
"incongruent","1","4","4","a","618","8","123"
"incongruent","1","2","4","l","671","2","123"
"congruent","1","1","3","a","508","2","123"
"congruent","1","1","3","l","799","4","123"
"incongruent","1","1","2","a","766","3","123"
"congruent","1","4","4","l","767","8","123"
"congruent","1","1","5","a","572","4","123"
"incongruent","1","3","5","l","670","2","123"
"congruent","1","3","2","l","659","5","123"
"congruent","1","4","7","a","495","3","123"
"congruent","1","2","4","a","735","2","123"
"congruent","1","2","5","a","533","3","123"
"congruent","1","1","4","l","607","5","123"
"incongruent","1","2","2","a","620","4","123"
"incongruent","1","4","7","l","689","3","123"
"congruent","1","3","7","a","494","4","123"
"congruent","1","3","2","l","462","5","123"
"incongruent","1","2","6","l","642","4","123"
"incongruent","1","4","4","a","515","8","123"
"congruent","1","3","7","a","684","4","123"
"incongruent","1","1","4","a","848","5","123"
"congruent","1","1","3","l","622","4","123"
"congruent","1","2","2","l","1443","4","123"
"congruent","1","4","6","a","615","2","123"
"incongruent","1","2","3","a","621","5","123"
"incongruent","1","2","6","l","516","4","123"
"incongruent","1","3","6","l","589","3","123"
"incongruent","1","2","2","a","525","4","123"
"congruent","1","2","5","a","657","3","123"
"congruent","1","4","6","a","674","2","123"
"incongruent","1","2","5","l","452","3","123"
"incongruent","1","1","3","l","715","2","123"
"congruent","1","4","3","l","613","7","123"
"incongruent","1","3","4","a","508","7","123"
"incongruent","1","4","2","a","869","6","123"
"congruent","1","4","4","l","488","8","123"
"congruent","1","2","6","a","500","4","123"
"congruent","1","4","7","a","526","3","123"
"incongruent","1","1","4","a","543","5","123"
"congruent","1","1","3","a","545","2","123"
"incongruent","1","2","4","l","626","2","123"
"congruent","1","1","5","a","480","4","123"
"congruent","1","1","4","l","646","5","123"
"incongruent","1","4","7","l","776","3","123"
"incongruent","1","3","5","l","1345","2","123"
"incongruent","1","3","7","l","673","4","123"
"incongruent","1","3","5","l","1052","2","123"
"congruent","1","1","4","a","547","3","123"
"congruent","1","4","2","l","683","6","123"
"incongruent","1","2","3","a","689","5","123"
"incongruent","1","1","5","l","642","4","123"
"incongruent","1","4","6","l","769","2","123"
"congruent","1","2","4","l","512","6","123"
"congruent","1","3","6","a","737","3","123"
"congruent","1","2","3","l","619","5","123"
"incongruent","1","1","3","l","498","2","123"
"incongruent","1","3","6","l","668","3","123"
"congruent","1","4","8","a","489","4","123"
"incongruent","1","3","3","a","827","6","123"
"congruent","1","4","2","l","561","6","123"
"incongruent","1","4","8","l","755","4","123"
"incongruent","1","1","3","a","451","4","123"
"incongruent","1","3","3","a","736","6","123"
"congruent","1","1","4","a","546","3","123"
"incongruent","1","4","3","a","595","7","123"
"congruent","1","2","3","l","514","5","123"
"incongruent","1","2","4","l","715","2","123"
"incongruent","1","1","4","l","701","3","123"
"congruent","1","2","6","a","561","4","123"
"incongruent","1","1","4","l","944","3","123"
"congruent","1","2","4","l","674","6","123"
"incongruent","1","1","3","a","464","4","123"
"incongruent","1","3","4","a","771","7","123"
"congruent","1","1","2","l","580","3","123"
"incongruent","1","3","2","a","472","5","123"
"congruent","1","3","5","a","585","2","123"
"congruent","1","3","6","a","508","3","123"
"congruent","1","4","3","l","526","7","123"
"incongruent","1","1","5","l","607","4","123"
"congruent","1","2","2","l","510","4","123"
"congruent","1","1","3","l","541","4","123"
"congruent","1","4","4","l","802","8","123"
"congruent","1","2","4","a","584","2","123"
"congruent","1","1","2","l","544","3","123"
"incongruent","1","4","4","a","530","8","123"
"congruent","1","3","4","l","507","7","123"
"incongruent","1","4","2","a","870","6","123"
"incongruent","1","4","6","l","536","2","123"
"congruent","1","3","2","l","643","5","123"
"congruent","1","1","3","a","687","2","123"
"congruent","1","1","5","a","586","4","123"
"congruent","1","3","5","a","536","2","123"
"incongruent","1","2","4","a","652","6","123"
"congruent","1","3","3","l","520","6","123"
"incongruent","1","1","2","a","603","3","123"
"incongruent","1","3","7","l","583","4","123"
"incongruent","1","4","8","l","782","4","123"
"incongruent","1","2","4","a","702","6","123"
"congruent","1","3","3","l","561","6","123"
"congruent","1","3","4","l","588","7","123"
"incongruent","1","1","2","a","513","3","123"
"incongruent","1","2","5","l","651","3","123"
"incongruent","1","4","3","a","813","7","123"
"congruent","1","4","7","a","688","3","123"
"congruent","1","4","8","a","501","4","123"
"incongruent","1","3","2","a","595","5","123"
"incongruent","1","3","6","l","892","3","123"
"congruent","1","3","5","a","486","2","123"
"incongruent","1","4","2","a","594","6","123"
"congruent","1","3","5","a","528","2","123"
"incongruent","1","2","3","a","483","5","123"
"congruent","1","3","4","l","446","7","123"
"congruent","1","2","4","l","515","6","123"
"incongruent","1","2","2","a","429","4","123"
"congruent","1","3","7","a","411","4","123"
"incongruent","1","3","4","a","915","7","123"
"incongruent","1","4","7","l","1048","3","123"
"incongruent","1","4","6","l","850","2","123"
"congruent","1","1","2","l","606","3","123"
"incongruent","1","4","3","a","620","7","123"
"incongruent","1","4","6","l","434","2","123"
"congruent","1","2","5","a","433","3","123"
"congruent","1","4","7","a","540","3","123"
"congruent","1","2","3","l","448","5","123"
"incongruent","1","1","3","l","627","2","123"
"congruent","1","4","8","a","450","4","123"
"incongruent","1","3","3","a","430","6","123"
"congruent","1","2","2","l","499","4","123"
"congruent","1","1","2","l","735","3","123"
"incongruent","1","3","7","l","608","4","123"
"incongruent","1","4","4","a","462","8","123"
"congruent","1","1","3","l","369","4","123"
"incongruent","1","2","4","l","564","2","123"
"incongruent","1","2","4","a","418","6","123"
"congruent","1","3","6","a","558","3","123"
"incongruent","1","3","3","a","740","6","123"
"incongruent","1","4","8","l","531","4","123"
"congruent","1","2","4","l","541","6","123"
"incongruent","1","2","4","l","783","2","123"
"incongruent","1","4","3","a","589","7","123"
"incongruent","1","2","6","l","526","4","123"
"incongruent","1","4","2","a","926","6","123"
"congruent","1","4","6","a","480","2","123"
"incongruent","1","3","5","l","484","2","123"
"incongruent","1","3","4","a","504","7","123"
"incongruent","0","1","4","a","546","3","123"
"incongruent","1","2","5","l","602","3","123"
"congruent","1","4","3","l","537","7","123"
"incongruent","1","1","3","a","761","4","123"
"congruent","1","4","4","l","497","8","123"
"congruent","1","4","7","a","485","3","123"
"incongruent","1","3","2","a","783","5","123"
"incongruent","1","1","4","a","592","5","123"
"congruent","1","3","3","l","527","6","123"
"congruent","1","1","5","a","560","4","123"
"congruent","1","1","3","a","609","2","123"
"incongruent","1","2","4","a","702","6","123"
"incongruent","1","3","2","a","626","5","123"
"incongruent","1","4","8","l","528","4","123"
"congruent","1","2","3","l","546","5","123"
"incongruent","1","1","2","a","497","3","123"
"incongruent","1","2","6","l","541","4","123"
"congruent","1","1","4","a","445","3","123"
"congruent","1","1","4","l","607","5","123"
"congruent","1","2","5","a","466","3","123"
"incongruent","1","4","7","l","749","3","123"
"incongruent","1","1","5","l","670","4","123"
"incongruent","1","4","4","a","481","8","123"
"congruent","1","3","6","a","526","3","123"
"congruent","1","4","6","a","479","2","123"
"congruent","1","2","4","a","460","2","123"
"congruent","1","4","2","l","481","6","123"
"congruent","1","2","2","l","587","4","123"
"incongruent","1","2","2","a","483","4","123"
"congruent","1","4","4","l","415","8","123"
"congruent","1","3","4","l","476","7","123"
"congruent","1","3","3","l","466","6","123"
"incongruent","1","1","2","a","414","3","123"
"incongruent","1","1","4","a","548","5","123"
"congruent","1","3","7","a","939","4","123"
"congruent","1","3","2","l","461","5","123"
"congruent","1","2","6","a","385","4","123"
"congruent","1","1","4","l","482","5","123"
"congruent","1","4","2","l","461","6","123"
"incongruent","1","1","3","a","418","4","123"
"congruent","1","1","5","a","463","4","123"
"congruent","1","1","3","l","460","4","123"
"congruent","1","2","4","a","447","2","123"
"congruent","1","3","2","l","430","5","123"
"incongruent","1","3","7","l","499","4","123"
"incongruent","1","2","5","l","621","3","123"
"incongruent","1","3","6","l","427","3","123"
"congruent","1","1","4","a","449","3","123"
"congruent","1","1","3","a","526","2","123"
"incongruent","1","2","3","a","561","5","123"
"incongruent","1","1","3","l","432","2","123"
"incongruent","1","1","4","l","405","3","123"
"congruent","1","2","6","a","436","4","123"
"congruent","1","4","8","a","480","4","123"
"incongruent","1","1","5","l","364","4","123"
"incongruent","1","3","5","l","436","2","123"
"congruent","1","4","3","l","528","7","123"
"incongruent","1","4","2","a","543","6","123"
"congruent","1","2","3","l","418","5","123"
"incongruent","1","1","5","l","527","4","123"
"congruent","1","3","2","l","488","5","123"
"incongruent","1","2","4","l","572","2","123"
"incongruent","1","2","5","l","554","3","123"
"congruent","1","3","7","a","445","4","123"
"incongruent","1","2","4","l","466","2","123"
"incongruent","1","4","4","a","463","8","123"
"incongruent","1","4","6","l","531","2","123"
"incongruent","1","3","5","l","636","2","123"
"incongruent","1","4","3","a","562","7","123"
"congruent","1","3","5","a","568","2","123"
"congruent","1","1","4","l","433","5","123"
"congruent","1","1","4","a","446","3","123"
"incongruent","1","4","4","a","524","8","123"
"congruent","1","3","2","l","504","5","123"
"incongruent","1","3","2","a","464","5","123"
"congruent","1","3","4","l","404","7","123"
"incongruent","1","2","3","a","463","5","123"
"incongruent","1","4","2","a","478","6","123"
"congruent","1","1","4","a","403","3","123"
"congruent","1","1","3","a","513","2","123"
"congruent","1","1","5","a","419","4","123"
"congruent","1","1","3","l","418","4","123"
"congruent","1","1","3","l","448","4","123"
"congruent","1","3","6","a","397","3","123"
"incongruent","1","4","3","a","412","7","123"
"congruent","0","4","8","l","371","4","123"
"congruent","1","2","4","l","687","6","123"
"incongruent","1","1","3","a","422","4","123"
"incongruent","1","2","2","a","1012","4","123"
"incongruent","1","3","7","l","514","4","123"
"incongruent","1","1","4","l","700","3","123"
"congruent","1","4","7","a","446","3","123"
"incongruent","1","1","2","a","803","3","123"
"incongruent","1","1","3","l","514","2","123"
"congruent","1","4","2","l","606","6","123"
"congruent","1","1","4","l","675","5","123"
"incongruent","1","1","5","l","624","4","123"
"congruent","1","4","6","a","431","2","123"
"incongruent","1","3","4","a","675","7","123"
"congruent","1","1","5","a","470","4","123"
"incongruent","1","3","6","l","819","3","123"
"congruent","1","4","7","a","494","3","123"
"incongruent","1","3","7","l","499","4","123"
"incongruent","1","1","3","l","847","2","123"
"incongruent","1","3","3","a","780","6","123"
"incongruent","1","1","4","a","591","5","123"
"incongruent","1","2","2","a","690","4","123"
"congruent","1","3","6","a","636","3","123"
"incongruent","1","1","4","l","603","3","123"
"congruent","1","3","7","a","522","4","123"
"congruent","1","2","4","l","490","6","123"
"incongruent","1","4","7","l","884","3","123"
"congruent","1","2","5","a","432","3","123"
"congruent","1","4","4","l","430","8","123"
"congruent","1","1","3","a","541","2","123"
"incongruent","1","3","2","a","671","5","123"
"incongruent","1","2","4","a","640","6","123"
"congruent","1","4","3","l","463","7","123"
"congruent","1","2","2","l","547","4","123"
"congruent","1","4","4","l","573","8","123"
"congruent","1","3","5","a","507","2","123"
"congruent","1","3","3","l","445","6","123"
"congruent","1","2","4","a","547","2","123"
"congruent","1","2","6","a","508","4","123"
"congruent","1","2","5","a","575","3","123"
"incongruent","1","2","4","a","703","6","123"
"congruent","1","3","4","l","466","7","123"
"incongruent","1","1","2","a","445","3","123"
"congruent","1","2","3","l","523","5","123"
"incongruent","1","3","3","a","525","6","123"
"incongruent","1","4","7","l","559","3","123"
"incongruent","1","4","8","l","797","4","123"
"congruent","1","2","2","l","490","4","123"
"incongruent","1","1","3","a","613","4","123"
"incongruent","1","2","6","l","475","4","123"
"congruent","1","1","2","l","689","3","123"
"congruent","1","2","6","a","525","4","123"
"congruent","1","4","2","l","463","6","123"
"incongruent","1","2","6","l","771","4","123"
"incongruent","1","2","5","l","660","3","123"
"congruent","1","4","6","a","450","2","123"
"incongruent","1","4","8","l","893","4","123"
"incongruent","1","3","5","l","688","2","123"
"incongruent","1","2","3","a","532","5","123"
"incongruent","1","3","6","l","476","3","123"
"incongruent","1","3","4","a","690","7","123"
"congruent","1","1","2","l","636","3","123"
"incongruent","1","1","4","a","480","5","123"
"congruent","1","4","3","l","428","7","123"
"congruent","1","2","4","a","483","2","123"
"incongruent","1","4","6","l","528","2","123"
"congruent","1","3","3","l","529","6","123"
"congruent","1","4","8","a","499","4","123"
