"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","1","2","a","3477","3","3"
"incongruent","1","3","3","a","2296","6","3"
"incongruent","1","4","4","a","1264","8","3"
"incongruent","1","4","3","a","2229","7","3"
"incongruent","1","1","3","l","1212","2","3"
"incongruent","1","4","8","l","1301","4","3"
"congruent","1","3","6","a","1044","3","3"
"congruent","1","2","2","l","1166","4","3"
"congruent","1","2","3","l","1438","5","3"
"incongruent","1","3","5","l","1606","2","3"
"congruent","1","1","3","a","1467","2","3"
"congruent","1","4","7","a","1454","3","3"
"incongruent","1","1","3","l","846","2","3"
"congruent","1","2","4","a","826","2","3"
"incongruent","1","4","8","l","871","4","3"
"congruent","1","3","3","l","1111","6","3"
"incongruent","1","4","3","a","1519","7","3"
"congruent","1","4","8","a","1464","4","3"
"incongruent","1","3","4","a","1859","7","3"
"incongruent","1","1","4","a","1340","5","3"
"incongruent","1","3","7","l","773","4","3"
"incongruent","1","2","3","a","872","5","3"
"congruent","1","3","2","l","682","5","3"
"congruent","1","1","4","l","823","5","3"
"congruent","1","2","2","l","707","4","3"
"congruent","1","1","3","a","966","2","3"
"congruent","1","4","7","a","1036","3","3"
"incongruent","1","4","6","l","1951","2","3"
"congruent","1","2","6","a","973","4","3"
"congruent","1","1","3","l","647","4","3"
"congruent","1","4","2","l","779","6","3"
"incongruent","1","2","6","l","1147","4","3"
"congruent","1","3","5","a","819","2","3"
"incongruent","1","4","6","l","1388","2","3"
"incongruent","1","3","5","l","847","2","3"
"incongruent","1","2","6","l","1021","4","3"
"incongruent","1","2","3","a","2196","5","3"
"congruent","1","4","8","a","866","4","3"
"incongruent","0","2","5","a","960","3","3"
"congruent","1","3","4","l","793","7","3"
"incongruent","1","2","4","l","1315","2","3"
"congruent","1","1","3","l","905","4","3"
"congruent","1","4","4","l","901","8","3"
"incongruent","1","3","2","a","1089","5","3"
"incongruent","1","1","2","a","988","3","3"
"congruent","1","1","5","a","867","4","3"
"incongruent","1","1","4","l","558","3","3"
"incongruent","1","3","2","a","1855","5","3"
"congruent","1","3","7","a","817","4","3"
"incongruent","0","3","7","a","809","4","3"
"incongruent","1","4","7","l","897","3","3"
"incongruent","1","1","4","a","923","5","3"
"congruent","1","4","6","a","963","2","3"
"congruent","1","3","5","a","748","2","3"
"congruent","1","4","2","l","611","6","3"
"congruent","1","4","6","a","571","2","3"
"incongruent","1","2","4","l","770","2","3"
"congruent","1","2","5","a","661","3","3"
"congruent","1","1","4","l","616","5","3"
"congruent","1","3","4","l","655","7","3"
"congruent","1","2","5","a","720","3","3"
"congruent","1","2","6","a","1830","4","3"
"incongruent","1","2","2","a","929","4","3"
"congruent","1","3","7","a","532","4","3"
"incongruent","1","4","7","l","750","3","3"
"incongruent","1","3","3","a","866","6","3"
"incongruent","1","2","4","a","1160","6","3"
"congruent","1","2","4","l","664","6","3"
"congruent","1","4","3","l","621","7","3"
"incongruent","1","3","6","l","2393","3","3"
"incongruent","1","3","6","l","1602","3","3"
"congruent","1","1","2","l","3280","3","3"
"incongruent","1","4","4","a","556","8","3"
"congruent","1","4","4","l","798","8","3"
"congruent","1","1","5","a","1332","4","3"
"incongruent","1","1","3","a","1683","4","3"
"congruent","1","3","2","l","918","5","3"
"congruent","1","4","3","l","1465","7","3"
"congruent","1","2","3","l","901","5","3"
"incongruent","1","2","2","a","1275","4","3"
"incongruent","1","2","4","a","1113","6","3"
"incongruent","1","1","5","l","786","4","3"
"congruent","1","1","2","l","682","3","3"
"congruent","1","3","6","a","777","3","3"
"congruent","1","3","3","l","1156","6","3"
"incongruent","1","1","4","l","1874","3","3"
"congruent","1","1","4","a","1254","3","3"
"congruent","1","1","4","a","1178","3","3"
"incongruent","1","1","3","a","963","4","3"
"incongruent","1","3","4","a","2507","7","3"
"incongruent","1","1","5","l","1532","4","3"
"incongruent","1","2","5","l","1029","3","3"
"incongruent","1","4","2","a","772","6","3"
"congruent","1","2","4","a","588","2","3"
"incongruent","1","4","2","a","802","6","3"
"congruent","1","2","4","l","1149","6","3"
"incongruent","1","1","5","l","1915","4","3"
"incongruent","1","1","4","l","854","3","3"
"congruent","1","3","6","a","1069","3","3"
"incongruent","1","2","6","l","808","4","3"
"incongruent","1","1","4","l","801","3","3"
"incongruent","1","3","6","l","754","3","3"
"congruent","1","2","4","l","1134","6","3"
"congruent","1","2","6","a","1516","4","3"
"incongruent","1","4","2","a","1371","6","3"
"incongruent","1","4","2","a","1048","6","3"
"congruent","1","2","5","a","868","3","3"
"congruent","1","3","6","a","918","3","3"
"congruent","1","3","4","l","647","7","3"
"congruent","1","4","8","a","902","4","3"
"incongruent","1","2","4","a","1065","6","3"
"congruent","1","2","6","a","573","4","3"
"incongruent","1","1","4","a","774","5","3"
"incongruent","1","4","8","l","768","4","3"
"incongruent","1","3","4","a","897","7","3"
"congruent","1","4","4","l","585","8","3"
"incongruent","1","1","3","a","661","4","3"
"congruent","1","2","4","a","581","2","3"
"congruent","1","1","3","a","731","2","3"
"incongruent","1","3","7","l","656","4","3"
"incongruent","1","2","6","l","1573","4","3"
"incongruent","1","1","3","l","664","2","3"
"incongruent","1","4","7","l","666","3","3"
"congruent","1","3","2","l","803","5","3"
"incongruent","1","3","2","a","1146","5","3"
"incongruent","1","2","3","a","871","5","3"
"congruent","1","2","2","l","612","4","3"
"incongruent","1","2","4","l","739","2","3"
"congruent","1","2","3","l","1150","5","3"
"incongruent","1","4","3","a","2066","7","3"
"incongruent","1","4","3","a","2193","7","3"
"congruent","1","3","7","a","1753","4","3"
"congruent","1","1","4","l","625","5","3"
"incongruent","1","4","4","a","1332","8","3"
"congruent","1","1","2","l","670","3","3"
"incongruent","1","2","3","a","781","5","3"
"incongruent","1","2","2","a","1132","4","3"
"congruent","1","4","4","l","680","8","3"
"congruent","1","4","3","l","859","7","3"
"incongruent","1","4","6","l","2002","2","3"
"congruent","1","3","2","l","720","5","3"
"incongruent","1","3","6","l","721","3","3"
"congruent","1","3","3","l","1115","6","3"
"congruent","1","2","4","l","833","6","3"
"congruent","1","1","4","a","1365","3","3"
"congruent","1","4","6","a","2144","2","3"
"incongruent","1","1","4","a","1044","5","3"
"congruent","1","2","5","a","776","3","3"
"congruent","1","3","3","l","638","6","3"
"congruent","1","2","4","a","849","2","3"
"congruent","1","4","2","l","651","6","3"
"congruent","1","3","7","a","760","4","3"
"congruent","1","4","8","a","1090","4","3"
"congruent","1","3","4","l","668","7","3"
"incongruent","1","4","7","l","721","3","3"
"congruent","1","4","7","a","1330","3","3"
"congruent","1","1","4","a","883","3","3"
"congruent","1","1","5","a","904","4","3"
"congruent","1","3","5","a","647","2","3"
"incongruent","1","1","3","l","618","2","3"
"congruent","1","1","3","a","1124","2","3"
"congruent","1","4","2","l","512","6","3"
"congruent","1","1","5","a","871","4","3"
"incongruent","1","1","3","a","820","4","3"
"incongruent","1","4","4","a","1601","8","3"
"congruent","1","2","3","l","565","5","3"
"incongruent","1","3","3","a","1038","6","3"
"congruent","1","1","3","l","665","4","3"
"incongruent","1","3","3","a","806","6","3"
"congruent","1","1","3","l","668","4","3"
"incongruent","1","1","5","l","1502","4","3"
"incongruent","1","2","4","a","1205","6","3"
"incongruent","1","4","8","l","838","4","3"
"incongruent","1","4","6","l","661","2","3"
"incongruent","1","1","2","a","784","3","3"
"congruent","1","4","7","a","623","3","3"
"congruent","1","3","5","a","831","2","3"
"incongruent","1","2","4","l","702","2","3"
"incongruent","1","2","5","l","1056","3","3"
"incongruent","1","3","4","a","883","7","3"
"incongruent","1","2","5","l","1013","3","3"
"congruent","1","2","2","l","759","4","3"
"incongruent","1","3","5","l","964","2","3"
"incongruent","1","3","2","a","661","5","3"
"incongruent","1","1","2","a","945","3","3"
"incongruent","1","3","5","l","549","2","3"
"congruent","1","4","6","a","571","2","3"
"congruent","1","1","4","l","493","5","3"
"congruent","1","4","3","l","496","7","3"
"incongruent","0","3","7","a","531","4","3"
"congruent","1","1","2","l","1258","3","3"
"incongruent","1","2","2","a","898","4","3"
