"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","0","3","2","l","2406","5","3"
"incongruent","1","4","3","a","1544","7","3"
"congruent","1","1","5","a","1311","4","3"
"congruent","1","2","4","l","950","6","3"
"incongruent","1","3","7","l","1307","4","3"
"incongruent","1","4","7","l","858","3","3"
"congruent","1","3","7","a","804","4","3"
"congruent","1","4","6","a","808","2","3"
"congruent","1","4","4","l","747","8","3"
"congruent","1","1","4","l","630","5","3"
"congruent","1","2","4","a","674","2","3"
"incongruent","1","2","3","a","757","5","3"
"congruent","1","2","2","l","595","4","3"
"incongruent","1","2","2","a","807","4","3"
"incongruent","1","4","2","a","793","6","3"
"congruent","1","1","5","a","631","4","3"
"congruent","1","1","4","a","568","3","3"
"congruent","1","4","3","l","608","7","3"
"congruent","1","3","2","l","548","5","3"
"congruent","1","1","2","l","575","3","3"
"congruent","1","1","2","l","540","3","3"
"incongruent","1","4","8","l","544","4","3"
"congruent","1","4","8","a","593","4","3"
"incongruent","1","2","2","a","843","4","3"
"incongruent","1","3","3","a","617","6","3"
"incongruent","1","4","6","l","1066","2","3"
"congruent","1","2","4","l","607","6","3"
"incongruent","1","2","4","a","569","6","3"
"congruent","1","4","7","a","733","3","3"
"incongruent","1","4","6","l","555","2","3"
"incongruent","1","1","2","a","982","3","3"
"incongruent","1","3","3","a","893","6","3"
"congruent","1","4","2","l","568","6","3"
"incongruent","1","1","3","l","708","2","3"
"incongruent","1","2","5","l","693","3","3"
"congruent","1","3","6","a","555","3","3"
"incongruent","1","3","5","l","570","2","3"
"congruent","1","2","5","a","573","3","3"
"incongruent","1","4","4","a","917","8","3"
"congruent","1","4","3","l","531","7","3"
"incongruent","1","3","5","l","594","2","3"
"incongruent","1","3","4","a","606","7","3"
"congruent","1","2","3","l","511","5","3"
"congruent","1","3","2","l","643","5","3"
"incongruent","1","2","6","l","668","4","3"
"incongruent","1","2","5","l","582","3","3"
"incongruent","1","3","2","a","556","5","3"
"incongruent","1","1","4","a","604","5","3"
"incongruent","1","3","6","l","605","3","3"
"congruent","1","3","6","a","655","3","3"
"congruent","1","3","3","l","555","6","3"
"congruent","1","3","3","l","571","6","3"
"congruent","1","2","6","a","579","4","3"
"incongruent","1","1","2","a","785","3","3"
"congruent","1","3","4","l","516","7","3"
"congruent","1","2","2","l","579","4","3"
"incongruent","1","1","5","l","555","4","3"
"congruent","1","2","3","l","518","5","3"
"incongruent","1","1","4","l","580","3","3"
"incongruent","0","3","7","a","554","4","3"
"incongruent","1","2","3","a","827","5","3"
"congruent","1","2","6","a","778","4","3"
"congruent","1","3","4","l","666","7","3"
"incongruent","1","3","4","a","705","7","3"
"incongruent","1","1","3","a","1105","4","3"
"congruent","1","3","5","a","768","2","3"
"incongruent","1","1","3","a","692","4","3"
"incongruent","1","4","3","a","804","7","3"
"incongruent","1","2","4","a","1214","6","3"
"incongruent","1","3","6","l","694","3","3"
"congruent","1","1","3","l","766","4","3"
"incongruent","1","2","4","l","879","2","3"
"congruent","1","4","6","a","712","2","3"
"congruent","1","4","7","a","567","3","3"
"congruent","1","4","2","l","591","6","3"
"congruent","1","2","5","a","551","3","3"
"congruent","1","4","4","l","618","8","3"
"incongruent","1","1","5","l","568","4","3"
"congruent","1","3","5","a","616","2","3"
"congruent","1","2","4","a","590","2","3"
"incongruent","1","1","4","l","595","3","3"
"congruent","1","1","3","a","727","2","3"
"incongruent","1","1","4","a","792","5","3"
"incongruent","1","4","7","l","531","3","3"
"congruent","1","4","8","a","555","4","3"
"congruent","1","1","4","l","491","5","3"
"incongruent","1","2","6","l","641","4","3"
"congruent","1","3","7","a","503","4","3"
"incongruent","1","2","4","l","542","2","3"
"congruent","1","1","4","a","504","3","3"
"incongruent","0","4","2","l","555","6","3"
"congruent","1","1","3","l","685","4","3"
"incongruent","1","4","8","l","541","4","3"
"incongruent","1","1","3","l","542","2","3"
"congruent","1","1","3","a","690","2","3"
"incongruent","1","4","4","a","516","8","3"
"incongruent","1","1","2","a","789","3","3"
"congruent","1","2","3","l","529","5","3"
"incongruent","1","2","3","a","492","5","3"
"incongruent","1","2","4","l","541","2","3"
"congruent","1","2","6","a","741","4","3"
"incongruent","1","3","6","l","542","3","3"
"congruent","1","3","7","a","541","4","3"
"congruent","1","1","4","a","603","3","3"
"incongruent","1","3","5","l","602","2","3"
"congruent","1","3","5","a","619","2","3"
"incongruent","1","2","6","l","528","4","3"
"incongruent","1","2","2","a","703","4","3"
"congruent","1","3","3","l","542","6","3"
"incongruent","1","1","5","l","503","4","3"
"incongruent","1","2","5","l","614","3","3"
"congruent","1","3","5","a","555","2","3"
"incongruent","1","3","5","l","492","2","3"
"congruent","1","4","4","l","530","8","3"
"congruent","1","4","7","a","528","3","3"
"congruent","1","4","3","l","454","7","3"
"congruent","1","1","3","a","505","2","3"
"incongruent","1","1","4","l","454","3","3"
"congruent","1","4","2","l","492","6","3"
"congruent","1","3","6","a","455","3","3"
"congruent","1","2","4","l","442","6","3"
"incongruent","0","3","6","a","528","3","3"
"incongruent","1","2","3","a","658","5","3"
"congruent","1","4","2","l","465","6","3"
"congruent","1","2","2","l","515","4","3"
"congruent","1","4","6","a","640","2","3"
"congruent","1","1","3","l","530","4","3"
"congruent","1","3","4","l","705","7","3"
"congruent","1","4","6","a","478","2","3"
"congruent","1","1","5","a","688","4","3"
"incongruent","1","4","4","a","1164","8","3"
"congruent","1","3","4","l","616","7","3"
"incongruent","1","2","4","a","403","6","3"
"congruent","1","2","4","l","455","6","3"
"congruent","1","3","2","l","542","5","3"
"incongruent","1","4","8","l","627","4","3"
"congruent","1","1","3","a","566","2","3"
"congruent","1","3","6","a","689","3","3"
"incongruent","1","3","4","a","1004","7","3"
"congruent","1","1","2","l","542","3","3"
"congruent","1","2","5","a","540","3","3"
"incongruent","1","4","7","l","592","3","3"
"incongruent","1","1","3","a","465","4","3"
"congruent","1","2","4","a","631","2","3"
"congruent","1","3","3","l","553","6","3"
"congruent","1","4","4","l","614","8","3"
"congruent","1","2","5","a","627","3","3"
"incongruent","1","4","7","l","652","3","3"
"incongruent","1","2","2","a","653","4","3"
"incongruent","1","4","2","a","615","6","3"
"incongruent","1","1","3","l","642","2","3"
"incongruent","1","1","4","a","579","5","3"
"congruent","1","1","3","l","540","4","3"
"congruent","1","3","7","a","501","4","3"
"incongruent","1","1","3","a","815","4","3"
"incongruent","1","4","6","l","503","2","3"
"congruent","1","1","2","l","551","3","3"
"congruent","1","1","4","l","577","5","3"
"incongruent","1","3","7","l","640","4","3"
"incongruent","1","3","7","l","502","4","3"
"incongruent","1","1","4","l","490","3","3"
"incongruent","1","3","2","a","590","5","3"
"incongruent","1","1","3","l","774","2","3"
"congruent","1","4","7","a","504","3","3"
"congruent","1","3","2","l","513","5","3"
"congruent","1","2","6","a","503","4","3"
