congruity,correct,distance,leftStimulus,response,response_time,rightStimulus,subject_nr
congruent,1,2,4,l,769,6,5
incongruent,1,2,2,a,1198,4,5
incongruent,1,1,3,l,509,2,5
congruent,1,1,4,l,621,5,5
congruent,1,3,2,l,582,5,5
incongruent,1,4,2,a,592,6,5
incongruent,1,1,2,a,964,3,5
congruent,1,1,5,a,634,4,5
congruent,1,2,6,a,617,4,5
incongruent,1,3,5,l,646,2,5
congruent,1,2,2,l,636,4,5
congruent,1,2,4,a,561,2,5
incongruent,1,1,3,a,580,4,5
congruent,1,4,7,a,576,3,5
incongruent,1,2,4,l,1308,2,5
incongruent,1,4,4,a,965,8,5
congruent,1,3,2,l,574,5,5
congruent,1,4,2,l,601,6,5
incongruent,1,3,7,l,981,4,5
congruent,1,3,5,a,559,2,5
incongruent,1,4,6,l,1083,2,5
congruent,1,2,4,a,624,2,5
congruent,1,2,5,a,723,3,5
incongruent,1,3,3,a,872,6,5
incongruent,1,1,4,l,605,3,5
congruent,1,4,8,a,613,4,5
incongruent,1,3,6,l,697,3,5
congruent,1,1,2,l,578,3,5
congruent,1,1,3,l,687,4,5
incongruent,1,4,2,a,678,6,5
incongruent,1,2,3,a,682,5,5
incongruent,1,1,4,a,632,5,5
congruent,1,1,2,l,541,3,5
incongruent,1,2,6,l,878,4,5
congruent,1,2,3,l,616,5,5
incongruent,1,3,6,l,709,3,5
congruent,1,3,7,a,575,4,5
incongruent,1,2,5,l,672,3,5
congruent,1,4,6,a,671,2,5
congruent,1,4,6,a,606,2,5
incongruent,1,2,3,a,674,5,5
incongruent,1,1,4,l,525,3,5
incongruent,1,3,4,a,683,7,5
congruent,1,3,5,a,653,2,5
congruent,1,3,4,l,621,7,5
incongruent,1,4,7,l,707,3,5
incongruent,1,4,3,a,600,7,5
incongruent,1,1,3,l,503,2,5
congruent,1,1,3,l,618,4,5
incongruent,1,3,2,a,656,5,5
incongruent,1,2,4,a,639,6,5
incongruent,1,1,4,a,696,5,5
incongruent,1,1,5,l,473,4,5
incongruent,1,4,4,a,562,8,5
congruent,1,4,7,a,675,3,5
incongruent,1,1,2,a,673,3,5
congruent,1,3,6,a,664,3,5
congruent,1,2,6,a,570,4,5
incongruent,1,4,8,l,630,4,5
congruent,1,1,3,a,507,2,5
congruent,1,3,4,l,527,7,5
incongruent,1,3,3,a,643,6,5
incongruent,1,4,8,l,620,4,5
congruent,1,3,3,l,656,6,5
congruent,1,3,3,l,625,6,5
congruent,1,3,6,a,466,3,5
congruent,1,2,3,l,528,5,5
congruent,1,4,3,l,660,7,5
congruent,1,4,8,a,665,4,5
congruent,1,1,3,a,692,2,5
incongruent,1,3,7,l,771,4,5
incongruent,1,4,6,l,745,2,5
congruent,1,2,4,l,755,6,5
congruent,1,1,4,a,573,3,5
congruent,1,1,5,a,651,4,5
incongruent,1,3,2,a,942,5,5
congruent,1,4,4,l,674,8,5
congruent,1,1,4,a,675,3,5
congruent,1,3,7,a,604,4,5
incongruent,1,3,4,a,772,7,5
incongruent,1,2,5,l,574,3,5
incongruent,1,2,2,a,654,4,5
incongruent,1,2,4,a,602,6,5
incongruent,1,1,3,a,652,4,5
congruent,1,2,2,l,558,4,5
incongruent,1,4,7,l,709,3,5
congruent,1,2,5,a,496,3,5
incongruent,1,2,6,l,720,4,5
congruent,1,4,4,l,756,8,5
incongruent,0,3,5,a,709,2,5
incongruent,1,2,4,l,587,2,5
congruent,1,1,4,l,515,5,5
congruent,1,4,2,l,595,6,5
congruent,1,4,3,l,673,7,5
incongruent,1,1,5,l,943,4,5
incongruent,1,4,3,a,511,7,5
congruent,1,2,5,a,527,3,5
congruent,1,3,4,l,444,7,5
congruent,1,1,5,a,398,4,5
incongruent,1,3,2,a,614,5,5
incongruent,1,2,5,l,408,3,5
congruent,1,3,3,l,669,6,5
incongruent,1,2,4,l,482,2,5
congruent,1,2,3,l,632,5,5
congruent,1,4,3,l,418,7,5
congruent,1,3,5,a,474,2,5
congruent,1,2,4,l,456,6,5
congruent,1,2,4,l,478,6,5
incongruent,1,1,3,a,611,4,5
incongruent,1,4,4,a,515,8,5
incongruent,1,2,2,a,853,4,5
congruent,1,3,3,l,468,6,5
congruent,1,4,2,l,519,6,5
incongruent,1,2,3,a,508,5,5
incongruent,1,1,5,l,581,4,5
congruent,1,1,3,a,552,2,5
congruent,1,4,4,l,614,8,5
congruent,1,1,3,l,905,4,5
incongruent,1,3,7,l,756,4,5
incongruent,1,1,4,l,770,3,5
congruent,1,4,2,l,972,6,5
congruent,1,1,4,l,684,5,5
incongruent,1,3,3,a,672,6,5
incongruent,1,3,5,l,846,2,5
