"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","1","2","l","1321","3","5"
"incongruent","1","2","4","l","594","2","5"
"congruent","1","2","6","a","834","4","5"
"congruent","1","1","3","l","474","4","5"
"incongruent","1","2","4","a","671","6","5"
"congruent","1","1","3","a","548","2","5"
"congruent","1","4","6","a","549","2","5"
"congruent","1","3","3","l","454","6","5"
"congruent","1","2","4","a","674","2","5"
"incongruent","1","4","8","l","519","4","5"
"congruent","1","3","7","a","713","4","5"
"congruent","1","1","5","a","570","4","5"
"congruent","1","2","4","l","457","6","5"
"incongruent","1","2","2","a","795","4","5"
"incongruent","1","3","5","l","496","2","5"
"incongruent","1","4","6","l","882","2","5"
"incongruent","1","3","6","l","473","3","5"
"congruent","1","3","7","a","450","4","5"
"incongruent","1","3","5","l","561","2","5"
"congruent","1","4","4","l","646","8","5"
"congruent","1","1","4","a","631","3","5"
"congruent","1","4","8","a","496","4","5"
"congruent","1","2","4","l","513","6","5"
"congruent","1","1","3","l","432","4","5"
"congruent","1","4","2","l","440","6","5"
"congruent","1","3","5","a","449","2","5"
"incongruent","1","3","2","a","463","5","5"
"incongruent","1","3","7","l","496","4","5"
"incongruent","1","3","2","a","481","5","5"
"congruent","1","4","7","a","429","3","5"
"congruent","1","4","2","l","433","6","5"
"congruent","1","2","4","a","519","2","5"
"incongruent","1","4","4","a","639","8","5"
"incongruent","1","1","4","l","513","3","5"
"congruent","1","4","4","l","551","8","5"
"congruent","1","1","2","l","711","3","5"
"incongruent","1","4","7","l","756","3","5"
"incongruent","1","3","3","a","489","6","5"
"congruent","1","3","5","a","576","2","5"
"incongruent","1","1","3","a","655","4","5"
"congruent","1","4","3","l","440","7","5"
"incongruent","1","3","6","l","511","3","5"
"congruent","1","3","6","a","454","3","5"
"incongruent","1","4","8","l","422","4","5"
"incongruent","1","4","2","a","614","6","5"
"incongruent","1","1","2","a","527","3","5"
"incongruent","1","2","5","l","767","3","5"
"congruent","1","3","4","l","704","7","5"
"incongruent","1","2","3","a","599","5","5"
"congruent","1","1","4","l","518","5","5"
"incongruent","1","1","5","l","472","4","5"
"congruent","1","2","3","l","480","5","5"
"incongruent","1","1","4","a","551","5","5"
"congruent","1","3","3","l","472","6","5"
"incongruent","1","2","4","a","432","6","5"
"congruent","1","2","2","l","456","4","5"
"incongruent","1","1","4","l","483","3","5"
"incongruent","1","2","2","a","490","4","5"
"incongruent","1","1","3","l","486","2","5"
"incongruent","1","3","3","a","601","6","5"
"congruent","1","4","7","a","454","3","5"
"incongruent","1","4","4","a","687","8","5"
"congruent","1","2","2","l","487","4","5"
"incongruent","1","3","4","a","727","7","5"
"congruent","1","2","3","l","582","5","5"
"congruent","1","1","5","a","623","4","5"
"congruent","1","1","4","l","444","5","5"
"congruent","1","3","6","a","391","3","5"
"congruent","1","2","5","a","486","3","5"
"incongruent","1","3","7","l","558","4","5"
"incongruent","0","4","3","l","479","7","5"
"incongruent","1","1","3","a","973","4","5"
"incongruent","1","2","4","l","822","2","5"
"congruent","1","2","6","a","518","4","5"
"incongruent","1","3","4","a","732","7","5"
"congruent","1","1","3","a","671","2","5"
"incongruent","1","4","6","l","814","2","5"
"congruent","1","4","6","a","639","2","5"
"incongruent","1","2","6","l","662","4","5"
"congruent","1","3","2","l","631","5","5"
"congruent","1","3","2","l","480","5","5"
"congruent","1","4","3","l","478","7","5"
"congruent","1","1","4","a","503","3","5"
"incongruent","1","2","3","a","854","5","5"
"congruent","1","3","4","l","558","7","5"
"incongruent","1","4","2","a","550","6","5"
"incongruent","1","1","5","l","452","4","5"
"incongruent","1","4","7","l","1526","3","5"
