congruity,correct,distance,leftStimulus,response,response_time,rightStimulus,subject_nr
incongruent,1,3,5,l,1783,2,1
incongruent,1,4,2,a,1221,6,1
congruent,1,3,5,a,767,2,1
congruent,1,4,2,l,675,6,1
congruent,1,3,4,l,711,7,1
congruent,1,1,2,l,632,3,1
congruent,1,1,4,l,679,5,1
incongruent,1,3,2,a,890,5,1
congruent,1,2,6,a,772,4,1
incongruent,1,4,3,a,624,7,1
congruent,1,4,7,a,935,3,1
incongruent,1,4,6,l,802,2,1
congruent,1,2,5,a,625,3,1
incongruent,1,3,7,l,538,4,1
congruent,1,1,3,l,490,4,1
congruent,1,1,5,a,504,4,1
incongruent,0,3,4,l,465,7,1
incongruent,1,1,2,a,804,3,1
congruent,1,2,4,l,620,6,1
congruent,1,2,2,l,659,4,1
incongruent,1,1,3,l,687,2,1
incongruent,1,2,5,l,849,3,1
incongruent,1,2,4,l,714,2,1
congruent,1,4,4,l,652,8,1
congruent,1,1,4,a,633,3,1
congruent,1,2,4,a,695,2,1
congruent,1,2,3,l,736,5,1
incongruent,1,4,8,l,859,4,1
incongruent,1,4,7,l,743,3,1
congruent,1,3,7,a,607,4,1
incongruent,1,1,4,a,946,5,1
congruent,1,3,6,a,614,3,1
incongruent,1,2,3,a,643,5,1
incongruent,1,2,6,l,1000,4,1
congruent,1,4,4,l,1317,8,1
congruent,1,3,4,l,712,7,1
incongruent,1,1,5,l,679,4,1
congruent,1,4,3,l,643,7,1
incongruent,1,2,4,l,849,2,1
incongruent,1,1,5,l,634,4,1
incongruent,1,1,4,l,632,3,1
incongruent,1,2,6,l,706,4,1
congruent,1,4,6,a,652,2,1
congruent,1,1,2,l,659,3,1
congruent,1,3,3,l,698,6,1
incongruent,1,3,7,l,816,4,1
congruent,1,2,5,a,814,3,1
incongruent,1,3,5,l,605,2,1
incongruent,1,1,3,l,1109,2,1
incongruent,1,2,4,a,698,6,1
congruent,1,1,3,l,487,4,1
incongruent,1,1,3,a,698,4,1
congruent,1,4,6,a,766,2,1
congruent,1,1,3,a,723,2,1
incongruent,1,3,2,a,893,5,1
incongruent,1,2,5,l,666,3,1
congruent,0,4,2,a,755,6,1
congruent,1,1,4,a,873,3,1
congruent,1,3,3,l,662,6,1
incongruent,1,4,6,l,825,2,1
incongruent,1,2,4,a,636,6,1
incongruent,1,4,4,a,787,8,1
congruent,1,2,6,a,530,4,1
congruent,1,2,2,l,532,4,1
congruent,1,4,8,a,538,4,1
incongruent,1,1,3,a,591,4,1
congruent,1,2,3,l,686,5,1
incongruent,1,2,3,a,616,5,1
incongruent,1,4,8,l,607,4,1
congruent,1,3,5,a,348,2,1
congruent,1,4,3,l,496,7,1
congruent,1,4,7,a,602,3,1
congruent,1,2,4,l,475,6,1
incongruent,1,3,4,a,444,7,1
congruent,1,3,7,a,749,4,1
congruent,1,3,2,l,729,5,1
incongruent,1,1,4,a,708,5,1
congruent,1,3,6,a,668,3,1
incongruent,1,1,2,a,668,3,1
incongruent,1,4,7,l,618,3,1
incongruent,1,4,2,a,600,6,1
incongruent,0,3,3,l,518,6,1
congruent,1,1,4,l,892,5,1
incongruent,1,3,6,l,1112,3,1
incongruent,1,1,4,l,970,3,1
congruent,1,2,4,a,557,2,1
congruent,1,1,5,a,694,4,1
congruent,1,4,8,a,609,4,1
incongruent,1,3,3,a,934,6,1
congruent,1,1,3,a,716,2,1
incongruent,1,4,4,a,901,8,1
incongruent,1,3,6,l,886,3,1
incongruent,1,2,2,a,607,4,1
incongruent,1,2,2,a,634,4,1
congruent,1,3,2,l,533,5,1
incongruent,1,4,3,a,506,7,1
congruent,1,3,4,l,796,7,1
congruent,1,2,4,l,1669,6,1
congruent,1,1,3,l,579,4,1
incongruent,1,3,3,a,655,6,1
incongruent,1,4,7,l,952,3,1
congruent,1,4,6,a,554,2,1
incongruent,1,3,7,l,489,4,1
incongruent,1,4,2,a,346,6,1
congruent,1,3,5,a,716,2,1
incongruent,1,2,6,l,498,4,1
incongruent,1,1,4,l,781,3,1
congruent,1,1,4,l,553,5,1
incongruent,1,4,3,a,533,7,1
congruent,1,1,3,a,511,2,1
incongruent,1,1,2,a,516,3,1
incongruent,1,1,5,l,491,4,1
congruent,1,4,3,l,581,7,1
incongruent,1,1,3,l,820,2,1
congruent,1,4,7,a,484,3,1
incongruent,1,3,2,a,726,5,1
incongruent,1,4,3,a,701,7,1
incongruent,1,2,2,a,1080,4,1
incongruent,1,2,5,l,583,3,1
congruent,1,1,3,l,671,4,1
incongruent,1,3,3,a,580,6,1
incongruent,1,3,5,l,515,2,1
incongruent,1,1,3,l,554,2,1
incongruent,1,1,5,l,572,4,1
congruent,1,2,2,l,427,4,1
incongruent,1,1,2,a,563,3,1
incongruent,0,3,4,l,685,7,1
congruent,1,2,4,a,843,2,1
congruent,1,2,2,l,726,4,1
congruent,1,3,5,a,682,2,1
congruent,1,1,4,a,568,3,1
congruent,1,4,7,a,558,3,1
congruent,1,1,4,l,589,5,1
congruent,1,4,2,l,534,6,1
incongruent,1,2,3,a,461,5,1
congruent,1,4,4,l,482,8,1
incongruent,0,4,8,a,470,4,1
incongruent,1,2,5,l,801,3,1
incongruent,1,4,2,a,812,6,1
congruent,1,4,8,a,800,4,1
incongruent,1,2,3,a,1176,5,1
congruent,1,3,3,l,642,6,1
incongruent,1,4,6,l,669,2,1
congruent,1,2,6,a,529,4,1
incongruent,1,2,4,a,649,6,1
incongruent,1,3,6,l,1081,3,1
incongruent,1,3,7,l,689,4,1
congruent,1,2,5,a,557,3,1
incongruent,1,4,4,a,833,8,1
congruent,1,2,4,a,1419,2,1
congruent,1,2,3,l,560,5,1
congruent,1,1,2,l,800,3,1
congruent,1,1,2,l,593,3,1
congruent,1,2,6,a,537,4,1
incongruent,1,1,3,a,795,4,1
incongruent,1,1,4,a,594,5,1
congruent,1,2,3,l,588,5,1
congruent,1,4,4,l,516,8,1
congruent,1,3,2,l,748,5,1
incongruent,1,3,2,a,555,5,1
congruent,1,2,4,l,583,6,1
incongruent,1,1,4,l,560,3,1
congruent,1,3,6,a,484,3,1
congruent,1,1,5,a,719,4,1
congruent,1,4,8,a,616,4,1
congruent,1,3,4,l,506,7,1
incongruent,1,3,4,a,1064,7,1
incongruent,1,4,6,l,597,2,1
incongruent,1,2,6,l,590,4,1
incongruent,1,3,5,l,726,2,1
incongruent,1,4,4,a,562,8,1
incongruent,1,2,2,a,769,4,1
congruent,1,3,7,a,583,4,1
incongruent,1,3,6,l,548,3,1
congruent,1,3,2,l,719,5,1
congruent,1,3,3,l,427,6,1
congruent,1,4,6,a,834,2,1
congruent,1,1,5,a,810,4,1
incongruent,1,2,4,l,727,2,1
congruent,1,1,3,a,671,2,1
congruent,1,4,2,l,579,6,1
incongruent,0,2,4,a,512,2,1
incongruent,1,1,4,a,803,5,1
congruent,1,3,7,a,628,4,1
incongruent,1,4,7,l,926,3,1
congruent,1,4,3,l,706,7,1
incongruent,1,2,4,a,1329,6,1
incongruent,1,1,3,a,691,4,1
congruent,1,1,4,a,701,3,1
incongruent,1,4,8,l,650,4,1
congruent,1,2,5,a,774,3,1
congruent,1,3,6,a,581,3,1
