"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","2","4","l","1333","2","2"
"congruent","1","2","5","a","758","3","2"
"incongruent","1","1","5","l","700","4","2"
"congruent","1","1","2","l","581","3","2"
"incongruent","1","3","5","l","573","2","2"
"incongruent","1","2","3","a","803","5","2"
"congruent","1","2","2","l","525","4","2"
"incongruent","1","3","6","l","917","3","2"
"congruent","1","3","5","a","636","2","2"
"incongruent","1","2","5","l","613","3","2"
"congruent","1","2","2","l","635","4","2"
"congruent","1","2","4","a","524","2","2"
"congruent","1","4","7","a","580","3","2"
"congruent","1","2","5","a","604","3","2"
"incongruent","1","2","3","a","829","5","2"
"congruent","1","1","2","l","598","3","2"
"congruent","1","1","4","a","652","3","2"
"congruent","1","3","2","l","605","5","2"
"congruent","1","1","4","a","652","3","2"
"congruent","1","4","4","l","645","8","2"
"incongruent","1","3","2","a","645","5","2"
"incongruent","1","3","3","a","643","6","2"
"congruent","1","1","3","l","525","4","2"
"congruent","1","2","6","a","516","4","2"
"incongruent","1","2","5","l","557","3","2"
"congruent","1","3","7","a","597","4","2"
"congruent","1","2","4","l","644","6","2"
"congruent","1","3","2","l","579","5","2"
"congruent","1","2","3","l","580","5","2"
"congruent","1","4","2","l","595","6","2"
"congruent","1","4","2","l","571","6","2"
"incongruent","1","1","3","a","773","4","2"
"incongruent","1","2","2","a","1042","4","2"
"congruent","1","4","6","a","604","2","2"
"incongruent","1","1","3","a","606","4","2"
"congruent","1","1","3","l","524","4","2"
"incongruent","1","3","7","l","580","4","2"
"incongruent","1","1","5","l","588","4","2"
"incongruent","1","1","3","l","563","2","2"
"incongruent","1","3","4","a","485","7","2"
"congruent","1","3","3","l","525","6","2"
"incongruent","1","4","3","a","539","7","2"
"incongruent","1","4","7","l","621","3","2"
"congruent","1","3","4","l","515","7","2"
"congruent","1","4","8","a","541","4","2"
"congruent","1","3","5","a","641","2","2"
"incongruent","1","2","4","l","517","2","2"
"congruent","1","3","3","l","508","6","2"
"congruent","1","3","6","a","589","3","2"
"incongruent","1","4","7","l","556","3","2"
"congruent","1","4","4","l","539","8","2"
"incongruent","1","2","4","a","524","6","2"
"congruent","1","2","3","l","499","5","2"
"incongruent","1","4","4","a","468","8","2"
"incongruent","1","1","2","a","685","3","2"
"congruent","1","3","6","a","803","3","2"
"incongruent","1","2","2","a","707","4","2"
"congruent","1","3","4","l","491","7","2"
"congruent","1","1","5","a","508","4","2"
"congruent","1","1","3","a","708","2","2"
"incongruent","1","4","4","a","659","8","2"
"congruent","1","2","6","a","588","4","2"
"incongruent","1","1","4","a","700","5","2"
"incongruent","1","3","3","a","589","6","2"
"incongruent","1","3","7","l","571","4","2"
"incongruent","1","4","2","a","485","6","2"
"incongruent","1","4","6","l","525","2","2"
"incongruent","1","1","4","l","596","3","2"
"incongruent","1","3","5","l","532","2","2"
"congruent","1","2","4","l","516","6","2"
"incongruent","1","1","2","a","531","3","2"
"incongruent","1","4","6","l","468","2","2"
"congruent","1","4","3","l","612","7","2"
"congruent","1","1","4","l","483","5","2"
"incongruent","1","2","6","l","537","4","2"
"incongruent","1","4","8","l","467","4","2"
"congruent","1","4","7","a","579","3","2"
"incongruent","1","1","3","l","443","2","2"
"incongruent","1","3","2","a","596","5","2"
"incongruent","1","4","2","a","668","6","2"
"congruent","1","2","4","a","555","2","2"
"congruent","1","1","3","a","475","2","2"
"incongruent","1","1","4","a","555","5","2"
"congruent","1","1","4","l","532","5","2"
"incongruent","1","2","4","a","555","6","2"
"congruent","1","1","5","a","570","4","2"
"incongruent","1","4","8","l","571","4","2"
"congruent","1","3","7","a","547","4","2"
"congruent","1","4","3","l","499","7","2"
"incongruent","1","2","6","l","642","4","2"
"incongruent","1","3","4","a","580","7","2"
"incongruent","1","3","6","l","548","3","2"
"incongruent","1","1","4","l","532","3","2"
"congruent","1","4","6","a","515","2","2"
"congruent","1","4","8","a","602","4","2"
"incongruent","1","4","3","a","618","7","2"
"incongruent","1","1","2","a","684","3","2"
"congruent","1","2","4","l","536","6","2"
"congruent","1","3","2","l","522","5","2"
"congruent","1","2","4","a","546","2","2"
"congruent","1","3","2","l","555","5","2"
"incongruent","1","3","4","a","540","7","2"
"incongruent","1","4","4","a","634","8","2"
"incongruent","1","1","3","a","515","4","2"
"congruent","1","4","8","a","692","4","2"
"congruent","1","3","6","a","563","3","2"
"congruent","1","4","2","l","522","6","2"
"congruent","1","3","7","a","491","4","2"
"congruent","1","2","6","a","659","4","2"
"congruent","1","1","4","a","508","3","2"
"incongruent","1","2","4","l","579","2","2"
"incongruent","1","2","4","a","594","6","2"
"incongruent","1","4","8","l","691","4","2"
"congruent","1","2","5","a","515","3","2"
"congruent","1","2","6","a","585","4","2"
"congruent","1","2","2","l","571","4","2"
"congruent","1","4","7","a","537","3","2"
"congruent","1","1","4","l","482","5","2"
"incongruent","1","1","4","a","515","5","2"
"congruent","1","1","4","a","539","3","2"
"congruent","1","1","3","a","579","2","2"
"incongruent","1","2","4","a","579","6","2"
"incongruent","1","1","4","l","548","3","2"
"congruent","1","1","5","a","473","4","2"
"incongruent","1","4","6","l","475","2","2"
"congruent","1","3","3","l","482","6","2"
"incongruent","1","1","4","l","618","3","2"
"congruent","1","4","3","l","562","7","2"
"congruent","1","3","5","a","530","2","2"
"incongruent","1","3","4","a","480","7","2"
"congruent","1","2","3","l","498","5","2"
"congruent","1","2","5","a","449","3","2"
"congruent","1","1","2","l","482","3","2"
"congruent","1","2","3","l","418","5","2"
"incongruent","1","3","6","l","515","3","2"
"congruent","1","2","4","a","563","2","2"
"incongruent","1","3","6","l","507","3","2"
"congruent","1","1","4","l","524","5","2"
"incongruent","1","2","3","a","498","5","2"
"congruent","1","1","3","l","467","4","2"
"congruent","1","2","2","l","467","4","2"
"congruent","1","3","5","a","450","2","2"
"incongruent","1","4","2","a","467","6","2"
"incongruent","1","3","3","a","592","6","2"
"incongruent","1","2","2","a","688","4","2"
"congruent","1","4","3","l","443","7","2"
"incongruent","1","3","5","l","482","2","2"
"congruent","1","3","3","l","530","6","2"
"incongruent","0","1","5","a","523","4","2"
"congruent","1","4","2","l","561","6","2"
"congruent","1","1","2","l","603","3","2"
"congruent","1","4","6","a","611","2","2"
"incongruent","1","4","3","a","530","7","2"
"incongruent","1","4","4","a","619","8","2"
"congruent","1","3","4","l","497","7","2"
"incongruent","1","1","3","l","642","2","2"
"congruent","1","1","3","a","527","2","2"
"congruent","1","3","7","a","554","4","2"
"congruent","1","4","8","a","611","4","2"
"congruent","1","2","4","l","491","6","2"
"congruent","1","1","3","l","522","4","2"
"incongruent","1","3","2","a","531","5","2"
"congruent","1","3","4","l","451","7","2"
"incongruent","1","3","2","a","563","5","2"
"incongruent","1","3","7","l","450","4","2"
"congruent","1","4","4","l","506","8","2"
"incongruent","1","4","3","a","458","7","2"
"incongruent","1","4","8","l","417","4","2"
"incongruent","1","4","2","a","427","6","2"
"incongruent","1","2","2","a","656","4","2"
"incongruent","1","4","7","l","401","3","2"
"congruent","1","4","6","a","489","2","2"
"congruent","1","3","6","a","458","3","2"
"incongruent","1","2","6","l","364","4","2"
"incongruent","1","1","3","a","392","4","2"
"incongruent","1","1","3","l","409","2","2"
"incongruent","1","2","3","a","441","5","2"
"incongruent","1","2","5","l","409","3","2"
"incongruent","1","1","4","a","386","5","2"
"congruent","1","4","4","l","354","8","2"
"incongruent","1","2","6","l","490","4","2"
"incongruent","1","3","7","l","418","4","2"
"congruent","1","4","7","a","403","3","2"
"incongruent","1","4","6","l","418","2","2"
"incongruent","1","3","3","a","586","6","2"
"incongruent","1","2","4","l","378","2","2"
"incongruent","1","1","5","l","529","4","2"
"incongruent","1","1","2","a","514","3","2"
"incongruent","1","3","5","l","418","2","2"
"congruent","1","1","5","a","481","4","2"
"incongruent","1","2","5","l","426","3","2"
"incongruent","1","4","7","l","370","3","2"
