"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","2","4","a","931","2","4"
"incongruent","0","1","4","l","861","5","4"
"congruent","1","3","7","a","1211","4","4"
"incongruent","1","4","6","l","817","2","4"
"incongruent","1","1","4","l","1175","3","4"
"congruent","1","1","5","a","804","4","4"
"incongruent","1","2","3","a","1009","5","4"
"incongruent","1","1","2","a","1166","3","4"
"congruent","1","4","2","l","715","6","4"
"incongruent","1","2","3","a","761","5","4"
"incongruent","1","2","2","a","1153","4","4"
"incongruent","1","1","3","l","655","2","4"
"incongruent","1","4","3","a","832","7","4"
"congruent","1","1","4","l","589","5","4"
"congruent","1","3","3","l","703","6","4"
"congruent","1","4","7","a","574","3","4"
"congruent","1","4","2","l","550","6","4"
"incongruent","1","2","5","l","633","3","4"
"congruent","1","2","5","a","705","3","4"
"congruent","1","4","4","l","581","8","4"
"incongruent","1","2","5","l","941","3","4"
"congruent","1","1","4","a","905","3","4"
"congruent","1","4","4","l","926","8","4"
"incongruent","1","3","5","l","969","2","4"
"incongruent","1","4","8","l","842","4","4"
"congruent","1","2","6","a","846","4","4"
"congruent","1","1","4","a","873","3","4"
"congruent","1","2","6","a","713","4","4"
"incongruent","1","4","7","l","885","3","4"
"congruent","1","4","3","l","767","7","4"
"congruent","1","4","8","a","842","4","4"
"incongruent","1","1","3","l","1615","2","4"
"congruent","1","4","6","a","587","2","4"
"incongruent","1","2","4","l","835","2","4"
"congruent","1","3","5","a","616","2","4"
"incongruent","1","3","6","l","615","3","4"
"congruent","1","4","7","a","567","3","4"
"congruent","1","3","5","a","809","2","4"
"incongruent","1","4","2","a","721","6","4"
"incongruent","1","1","5","l","662","4","4"
"incongruent","1","2","4","a","596","6","4"
"incongruent","1","1","3","a","829","4","4"
"incongruent","1","3","4","a","758","7","4"
"incongruent","1","1","5","l","936","4","4"
"incongruent","1","1","4","a","940","5","4"
"congruent","1","2","3","l","574","5","4"
"incongruent","1","3","5","l","871","2","4"
"congruent","1","2","4","l","625","6","4"
"congruent","1","3","2","l","669","5","4"
"congruent","1","2","3","l","732","5","4"
"congruent","1","3","6","a","519","3","4"
"congruent","1","1","2","l","577","3","4"
"congruent","1","1","3","a","691","2","4"
"congruent","1","3","6","a","663","3","4"
"incongruent","1","2","6","l","621","4","4"
"congruent","1","3","7","a","549","4","4"
"congruent","1","2","4","a","881","2","4"
"congruent","1","2","5","a","674","3","4"
"congruent","1","3","2","l","623","5","4"
"incongruent","1","2","2","a","492","4","4"
"incongruent","1","3","2","a","634","5","4"
"incongruent","1","4","3","a","596","7","4"
"congruent","1","1","5","a","848","4","4"
"incongruent","1","4","2","a","852","6","4"
"incongruent","1","4","6","l","543","2","4"
"congruent","1","4","3","l","718","7","4"
"incongruent","0","3","7","a","592","4","4"
"incongruent","1","2","4","a","812","6","4"
"congruent","1","4","8","a","751","4","4"
"incongruent","1","1","4","l","727","3","4"
"incongruent","1","3","2","a","833","5","4"
"incongruent","1","1","2","a","778","3","4"
"incongruent","1","2","6","l","810","4","4"
"congruent","1","1","3","l","760","4","4"
"congruent","1","1","4","l","859","5","4"
"congruent","1","2","2","l","610","4","4"
"congruent","1","1","3","l","549","4","4"
"incongruent","1","4","8","l","614","4","4"
"congruent","1","1","2","l","575","3","4"
"congruent","1","3","4","l","588","7","4"
"congruent","1","2","2","l","595","4","4"
"incongruent","1","1","3","a","505","4","4"
"congruent","1","2","4","l","550","6","4"
"incongruent","1","4","4","a","472","8","4"
"incongruent","1","4","4","a","702","8","4"
"congruent","1","3","4","l","787","7","4"
"incongruent","1","4","7","l","854","3","4"
"incongruent","1","3","7","l","487","4","4"
"incongruent","1","3","6","l","698","3","4"
"congruent","1","3","3","l","578","6","4"
"incongruent","1","3","3","a","1132","6","4"
"congruent","1","4","6","a","799","2","4"
"incongruent","1","2","4","l","1145","2","4"
"incongruent","1","3","4","a","562","7","4"
"congruent","1","1","3","a","804","2","4"
"incongruent","1","3","3","a","712","6","4"
"congruent","1","3","2","l","492","5","4"
"congruent","1","1","5","a","576","4","4"
"incongruent","1","3","2","a","728","5","4"
"congruent","1","2","6","a","645","4","4"
"incongruent","1","4","3","a","557","7","4"
"congruent","1","4","6","a","649","2","4"
"incongruent","1","2","6","l","600","4","4"
"congruent","1","1","2","l","621","3","4"
"incongruent","1","2","4","a","460","6","4"
"congruent","1","2","2","l","874","4","4"
"congruent","1","4","3","l","488","7","4"
"incongruent","1","4","8","l","565","4","4"
"congruent","1","1","4","a","548","3","4"
"congruent","1","4","6","a","547","2","4"
"incongruent","1","1","4","a","573","5","4"
"congruent","1","4","7","a","637","3","4"
"congruent","1","2","6","a","698","4","4"
"incongruent","0","2","3","l","514","5","4"
"congruent","1","2","4","l","691","6","4"
"congruent","1","4","2","l","964","6","4"
"congruent","1","1","4","a","478","3","4"
"incongruent","1","1","2","a","651","3","4"
"congruent","1","1","3","a","617","2","4"
"incongruent","1","1","3","a","631","4","4"
"incongruent","1","4","3","a","713","7","4"
"congruent","1","3","3","l","661","6","4"
"congruent","1","1","3","a","643","2","4"
"congruent","1","1","2","l","684","3","4"
"incongruent","1","4","6","l","1069","2","4"
"incongruent","1","2","3","a","624","5","4"
"incongruent","1","1","3","l","709","2","4"
"congruent","1","4","3","l","579","7","4"
"congruent","1","4","8","a","672","4","4"
"incongruent","1","1","3","a","630","4","4"
"congruent","1","3","5","a","619","2","4"
"incongruent","1","1","4","l","597","3","4"
"congruent","1","2","3","l","594","5","4"
"incongruent","1","3","4","a","566","7","4"
"incongruent","1","3","6","l","666","3","4"
"incongruent","1","2","5","l","579","3","4"
"congruent","1","3","5","a","591","2","4"
"incongruent","1","2","4","l","674","2","4"
"congruent","1","1","3","l","744","4","4"
"incongruent","1","1","5","l","446","4","4"
"congruent","1","1","5","a","584","4","4"
"incongruent","1","3","3","a","790","6","4"
"congruent","1","2","4","l","539","6","4"
"congruent","1","3","6","a","595","3","4"
"congruent","1","2","4","a","795","2","4"
"congruent","1","3","4","l","711","7","4"
"congruent","1","1","4","l","431","5","4"
"congruent","1","3","6","a","476","3","4"
"incongruent","1","1","4","l","540","3","4"
"incongruent","1","2","2","a","750","4","4"
"congruent","1","4","2","l","566","6","4"
"congruent","1","4","4","l","749","8","4"
"congruent","1","3","7","a","576","4","4"
"incongruent","0","4","2","l","516","6","4"
"incongruent","1","3","5","l","756","2","4"
"incongruent","1","4","4","a","593","8","4"
"incongruent","1","4","7","l","576","3","4"
"incongruent","1","2","6","l","502","4","4"
"incongruent","1","3","7","l","526","4","4"
"incongruent","1","2","4","l","757","2","4"
"incongruent","1","2","5","l","813","3","4"
"incongruent","1","4","6","l","1086","2","4"
"incongruent","1","1","2","a","483","3","4"
"congruent","1","2","3","l","513","5","4"
"congruent","1","4","8","a","515","4","4"
"incongruent","1","3","2","a","1000","5","4"
"congruent","1","3","3","l","513","6","4"
"incongruent","1","4","8","l","669","4","4"
"congruent","1","3","7","a","556","4","4"
"congruent","1","2","5","a","743","3","4"
"incongruent","1","2","4","a","529","6","4"
"incongruent","1","4","7","l","578","3","4"
"incongruent","1","1","3","l","727","2","4"
"congruent","1","1","3","l","485","4","4"
"congruent","1","4","7","a","752","3","4"
"incongruent","1","3","7","l","531","4","4"
"congruent","1","2","2","l","571","4","4"
"incongruent","1","4","2","a","819","6","4"
"congruent","1","2","4","a","754","2","4"
"congruent","1","4","4","l","637","8","4"
"congruent","1","2","5","a","499","3","4"
"incongruent","1","4","4","a","774","8","4"
"incongruent","1","3","6","l","727","3","4"
"congruent","1","3","2","l","581","5","4"
"incongruent","1","3","3","a","874","6","4"
"incongruent","1","1","4","a","779","5","4"
"incongruent","1","3","5","l","572","2","4"
"congruent","1","3","4","l","966","7","4"
"congruent","1","1","4","l","642","5","4"
"incongruent","1","2","2","a","648","4","4"
"incongruent","1","1","5","l","684","4","4"
"incongruent","1","3","4","a","520","7","4"
