"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","4","2","l","1689","6","5"
"incongruent","1","3","4","a","1064","7","5"
"incongruent","1","4","7","l","1312","3","5"
"congruent","1","3","2","l","1379","5","5"
"congruent","1","4","8","a","1203","4","5"
"incongruent","1","2","4","l","1428","2","5"
"incongruent","1","2","6","l","1797","4","5"
"congruent","1","1","3","l","1272","4","5"
"incongruent","1","4","8","l","1678","4","5"
"congruent","1","1","3","l","1997","4","5"
"incongruent","1","2","2","a","2012","4","5"
"incongruent","1","3","3","a","1809","6","5"
"incongruent","1","4","6","l","2214","2","5"
"congruent","1","3","7","a","1113","4","5"
"congruent","1","4","3","l","1706","7","5"
"incongruent","1","1","3","a","1267","4","5"
"congruent","1","1","3","a","1462","2","5"
"incongruent","1","2","6","l","916","4","5"
"incongruent","1","2","2","a","1457","4","5"
"congruent","1","4","4","l","1569","8","5"
"incongruent","1","1","2","a","1652","3","5"
"congruent","1","4","8","a","1570","4","5"
"incongruent","1","3","6","l","2021","3","5"
"congruent","1","3","7","a","1545","4","5"
"congruent","1","1","4","a","1995","3","5"
"incongruent","1","3","6","l","2224","3","5"
"incongruent","1","2","5","l","1720","3","5"
"congruent","1","3","5","a","1912","2","5"
"congruent","1","4","7","a","1757","3","5"
"incongruent","1","3","5","l","1143","2","5"
"congruent","1","4","7","a","2873","3","5"
"incongruent","1","2","4","l","1534","2","5"
"congruent","1","2","3","l","1735","5","5"
"incongruent","1","1","4","a","1907","5","5"
"congruent","1","1","4","l","3155","5","5"
"incongruent","1","1","3","l","1983","2","5"
"incongruent","1","2","4","a","1579","6","5"
"congruent","1","3","2","l","1552","5","5"
"congruent","1","1","5","a","1383","4","5"
"congruent","1","1","3","a","1377","2","5"
"incongruent","0","4","4","l","1695","8","5"
"incongruent","1","4","7","l","6904","3","5"
"congruent","1","2","2","l","1676","4","5"
"incongruent","1","4","3","a","1366","7","5"
"congruent","1","4","2","l","1596","6","5"
"incongruent","1","2","3","a","1368","5","5"
"incongruent","1","1","4","l","1736","3","5"
"congruent","1","4","4","l","1721","8","5"
"congruent","1","3","3","l","1746","6","5"
"incongruent","1","1","4","a","1124","5","5"
"congruent","1","3","4","l","1038","7","5"
"congruent","1","2","6","a","1318","4","5"
"congruent","1","2","3","l","1182","5","5"
"congruent","1","4","6","a","1238","2","5"
"incongruent","1","3","2","a","1211","5","5"
"congruent","1","3","5","a","907","2","5"
"incongruent","1","2","5","l","1212","3","5"
"incongruent","1","1","5","l","1285","4","5"
"incongruent","1","4","4","a","1445","8","5"
"congruent","1","4","3","l","1445","7","5"
"incongruent","1","3","5","l","1137","2","5"
"incongruent","1","3","7","l","1396","4","5"
"congruent","1","1","2","l","1368","3","5"
"congruent","1","2","6","a","1620","4","5"
"congruent","1","2","4","a","970","2","5"
"incongruent","1","3","7","l","668","4","5"
"congruent","1","1","4","l","869","5","5"
"incongruent","1","4","3","a","1055","7","5"
"incongruent","1","4","2","a","915","6","5"
"congruent","1","4","6","a","1245","2","5"
"congruent","1","1","5","a","2481","4","5"
"congruent","1","2","4","a","930","2","5"
"incongruent","1","4","8","l","729","4","5"
"incongruent","1","4","2","a","1396","6","5"
"congruent","1","3","4","l","1584","7","5"
"congruent","1","2","4","l","1461","6","5"
"incongruent","1","3","4","a","1496","7","5"
"incongruent","1","3","3","a","1163","6","5"
"congruent","1","3","3","l","898","6","5"
"incongruent","1","1","5","l","1127","4","5"
"incongruent","1","4","6","l","938","2","5"
"congruent","1","2","5","a","777","3","5"
"congruent","1","1","2","l","1048","3","5"
"congruent","1","3","6","a","1509","3","5"
"congruent","1","3","6","a","1621","3","5"
"congruent","1","1","4","a","1374","3","5"
"incongruent","1","1","3","a","992","4","5"
"incongruent","1","1","2","a","1527","3","5"
"incongruent","1","1","3","l","957","2","5"
"congruent","1","2","4","l","1964","6","5"
"incongruent","1","1","4","l","1922","3","5"
"congruent","1","2","5","a","1456","3","5"
"congruent","1","2","2","l","923","4","5"
"incongruent","1","2","4","a","1185","6","5"
"incongruent","1","2","3","a","1312","5","5"
"incongruent","1","3","2","a","1483","5","5"
"incongruent","1","4","2","a","1364","6","5"
"congruent","1","4","4","l","1235","8","5"
"incongruent","1","1","2","a","876","3","5"
"congruent","1","2","5","a","969","3","5"
"congruent","1","3","7","a","893","4","5"
"incongruent","1","2","6","l","793","4","5"
"congruent","1","2","2","l","1262","4","5"
"incongruent","1","4","3","a","1113","7","5"
"congruent","1","1","4","l","1845","5","5"
"congruent","1","4","2","l","932","6","5"
"incongruent","1","3","5","l","1504","2","5"
"incongruent","1","2","5","l","1214","3","5"
"congruent","1","2","4","l","1695","6","5"
"incongruent","1","3","6","l","914","3","5"
"congruent","1","4","7","a","669","3","5"
"incongruent","1","2","4","a","915","6","5"
"incongruent","1","2","2","a","1458","4","5"
"congruent","1","2","5","a","1950","3","5"
"incongruent","1","4","6","l","1226","2","5"
"congruent","1","4","3","l","1345","7","5"
"congruent","1","1","2","l","1161","3","5"
"congruent","1","1","4","a","2366","3","5"
"incongruent","1","1","4","a","1352","5","5"
"congruent","1","1","5","a","2384","4","5"
"incongruent","1","4","8","l","3205","4","5"
"incongruent","1","3","4","a","1126","7","5"
"congruent","1","1","3","l","1483","4","5"
"incongruent","1","2","3","a","664","5","5"
"incongruent","1","3","7","l","725","4","5"
"incongruent","1","2","4","a","743","6","5"
"incongruent","1","4","4","a","827","8","5"
"congruent","1","2","4","l","643","6","5"
"congruent","1","4","4","l","710","8","5"
"incongruent","1","1","4","l","1116","3","5"
"incongruent","1","3","6","l","1466","3","5"
"incongruent","1","2","6","l","1915","4","5"
"congruent","1","1","3","a","659","2","5"
"incongruent","1","4","3","a","1119","7","5"
"incongruent","1","3","2","a","1076","5","5"
"incongruent","1","1","5","l","857","4","5"
"incongruent","1","3","3","a","816","6","5"
"incongruent","1","3","4","a","809","7","5"
"incongruent","1","4","6","l","671","2","5"
"incongruent","1","1","2","a","1237","3","5"
"incongruent","1","2","2","a","1733","4","5"
"congruent","1","4","6","a","1590","2","5"
"incongruent","1","1","5","l","1384","4","5"
"congruent","1","3","5","a","1153","2","5"
