"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","2","4","l","1377","6","5"
"incongruent","1","3","6","l","999","3","5"
"congruent","1","4","8","a","756","4","5"
"incongruent","0","2","3","l","1052","5","5"
"incongruent","1","2","2","a","867","4","5"
"incongruent","1","1","4","a","749","5","5"
"incongruent","1","1","2","a","668","3","5"
"congruent","1","2","4","a","628","2","5"
"incongruent","1","4","8","l","1270","4","5"
"incongruent","1","1","2","a","901","3","5"
"congruent","1","3","7","a","924","4","5"
"congruent","1","2","3","l","611","5","5"
"congruent","1","1","5","a","996","4","5"
"incongruent","1","2","5","l","707","3","5"
"incongruent","1","4","2","a","643","6","5"
"congruent","1","3","3","l","604","6","5"
"congruent","1","3","6","a","580","3","5"
"congruent","1","3","6","a","804","3","5"
"incongruent","1","2","4","l","533","2","5"
"congruent","1","3","3","l","692","6","5"
"congruent","1","3","2","l","700","5","5"
"incongruent","0","3","7","a","635","4","5"
"congruent","1","2","4","l","780","6","5"
"congruent","1","1","2","l","619","3","5"
"congruent","1","4","4","l","676","8","5"
"congruent","1","4","7","a","869","3","5"
"congruent","1","4","4","l","675","8","5"
"incongruent","1","3","2","a","571","5","5"
"congruent","1","4","3","l","523","7","5"
"incongruent","0","2","5","a","556","3","5"
"incongruent","1","4","2","a","699","6","5"
"incongruent","1","2","4","a","620","6","5"
"incongruent","1","3","6","l","820","3","5"
"congruent","1","3","4","l","652","7","5"
"congruent","1","3","2","l","644","5","5"
"congruent","1","3","4","l","540","7","5"
"incongruent","1","2","3","a","636","5","5"
"incongruent","1","2","4","a","634","6","5"
"congruent","1","1","3","l","444","4","5"
"congruent","1","1","3","a","556","2","5"
"congruent","1","2","2","l","573","4","5"
"incongruent","0","3","5","a","461","2","5"
"incongruent","1","4","4","a","835","8","5"
"congruent","1","4","2","l","553","6","5"
"congruent","1","2","6","a","693","4","5"
"congruent","1","2","5","a","565","3","5"
"incongruent","1","1","4","l","836","3","5"
"incongruent","0","4","7","a","477","3","5"
"incongruent","1","3","5","l","1379","2","5"
"incongruent","1","4","6","l","1258","2","5"
"incongruent","1","1","5","l","651","4","5"
"congruent","1","1","2","l","645","3","5"
"congruent","1","2","2","l","619","4","5"
"incongruent","1","1","4","a","859","5","5"
"congruent","1","4","2","l","627","6","5"
"incongruent","1","1","3","a","804","4","5"
"incongruent","1","4","4","a","764","8","5"
"congruent","1","2","4","a","620","2","5"
"incongruent","1","3","3","a","644","6","5"
"congruent","1","1","3","a","666","2","5"
"congruent","1","3","7","a","627","4","5"
"incongruent","1","3","3","a","707","6","5"
"incongruent","1","1","3","l","540","2","5"
"incongruent","1","4","7","l","836","3","5"
"incongruent","1","1","4","l","732","3","5"
"congruent","1","3","5","a","580","2","5"
"congruent","1","1","4","a","586","3","5"
"incongruent","1","2","6","l","836","4","5"
"incongruent","1","3","4","a","612","7","5"
"incongruent","1","3","4","a","1108","7","5"
"incongruent","1","1","3","a","668","4","5"
"congruent","1","1","4","l","556","5","5"
"congruent","1","4","7","a","611","3","5"
"incongruent","1","4","3","a","732","7","5"
"congruent","1","4","8","a","660","4","5"
"congruent","1","3","5","a","580","2","5"
"incongruent","1","2","4","l","747","2","5"
"incongruent","1","2","6","l","585","4","5"
"congruent","1","4","3","l","604","7","5"
"congruent","1","1","3","l","955","4","5"
"congruent","1","2","3","l","554","5","5"
"congruent","1","1","4","a","699","3","5"
"congruent","1","2","6","a","612","4","5"
"congruent","1","4","6","a","698","2","5"
"incongruent","1","1","5","l","875","4","5"
"incongruent","1","2","2","a","907","4","5"
"congruent","1","2","5","a","1003","3","5"
"congruent","1","1","5","a","628","4","5"
"incongruent","1","4","8","l","787","4","5"
"incongruent","1","1","3","l","611","2","5"
"incongruent","0","4","3","l","611","7","5"
"incongruent","1","4","6","l","618","2","5"
"incongruent","1","3","2","a","611","5","5"
"incongruent","1","3","7","l","780","4","5"
"congruent","1","4","6","a","987","2","5"
"congruent","1","1","4","l","723","5","5"
"congruent","1","1","3","l","836","4","5"
"congruent","1","2","5","a","850","3","5"
"incongruent","1","1","3","l","890","2","5"
"incongruent","0","4","3","l","1154","7","5"
"congruent","1","3","4","l","770","7","5"
"congruent","1","1","4","l","769","5","5"
"congruent","1","1","3","a","772","2","5"
"congruent","1","3","4","l","891","7","5"
"congruent","1","2","2","l","682","4","5"
"incongruent","1","4","8","l","843","4","5"
"incongruent","1","2","5","l","674","3","5"
"congruent","1","1","5","a","849","4","5"
"incongruent","1","2","3","a","1170","5","5"
