"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","3","7","a","783","4","4"
"incongruent","1","1","4","l","501","3","4"
"congruent","1","1","4","a","533","3","4"
"congruent","1","2","5","a","713","3","4"
"congruent","1","4","7","a","449","3","4"
"incongruent","0","4","2","l","474","6","4"
"incongruent","1","1","3","a","786","4","4"
"congruent","1","2","5","a","603","3","4"
"incongruent","1","4","7","l","666","3","4"
"incongruent","1","1","5","l","491","4","4"
"congruent","1","4","6","a","390","2","4"
"incongruent","1","1","2","a","508","3","4"
"congruent","1","4","4","l","891","8","4"
"congruent","1","1","5","a","549","4","4"
"incongruent","1","2","3","a","675","5","4"
"congruent","1","3","2","l","1485","5","4"
"incongruent","0","2","4","a","435","2","4"
"congruent","1","2","4","l","658","6","4"
"congruent","1","1","5","a","1539","4","4"
"congruent","1","3","4","l","500","7","4"
"congruent","1","3","2","l","394","5","4"
"incongruent","1","4","8","l","684","4","4"
"incongruent","1","3","7","l","473","4","4"
"congruent","1","2","3","l","429","5","4"
"congruent","1","1","4","a","443","3","4"
"congruent","1","3","5","a","461","2","4"
"incongruent","1","1","3","l","499","2","4"
"incongruent","1","2","5","l","531","3","4"
"congruent","1","3","4","l","452","7","4"
"congruent","1","3","3","l","397","6","4"
"congruent","1","3","6","a","491","3","4"
"congruent","1","1","3","a","643","2","4"
"incongruent","1","3","5","l","676","2","4"
"incongruent","1","3","2","a","571","5","4"
"congruent","1","1","2","l","621","3","4"
"incongruent","1","3","4","a","484","7","4"
"incongruent","1","1","4","a","515","5","4"
"congruent","1","4","8","a","540","4","4"
"incongruent","0","1","3","a","444","2","4"
"incongruent","0","4","7","a","633","3","4"
"incongruent","1","2","2","a","579","4","4"
"congruent","1","4","6","a","749","2","4"
"congruent","1","2","2","l","410","4","4"
"incongruent","1","2","6","l","493","4","4"
"incongruent","1","4","2","a","508","6","4"
"incongruent","1","1","4","l","443","3","4"
"congruent","1","1","4","l","434","5","4"
"incongruent","0","3","3","l","508","6","4"
"congruent","1","4","8","a","722","4","4"
"incongruent","1","2","3","a","603","5","4"
"incongruent","1","2","5","l","517","3","4"
"congruent","1","3","7","a","483","4","4"
"incongruent","1","4","6","l","420","2","4"
"congruent","1","1","3","l","468","4","4"
"incongruent","1","4","3","a","451","7","4"
"congruent","1","1","2","l","540","3","4"
"incongruent","1","3","6","l","531","3","4"
"incongruent","1","3","5","l","484","2","4"
"incongruent","1","2","6","l","500","4","4"
"incongruent","1","4","3","a","435","7","4"
"incongruent","1","4","4","a","604","8","4"
"incongruent","1","2","4","l","884","2","4"
"congruent","1","2","6","a","562","4","4"
"congruent","0","2","4","a","546","6","4"
"incongruent","1","1","3","a","762","4","4"
"incongruent","1","3","6","l","771","3","4"
"congruent","1","4","7","a","468","3","4"
"congruent","1","1","4","l","500","5","4"
"congruent","1","2","6","a","603","4","4"
"incongruent","1","4","6","l","788","2","4"
"incongruent","1","3","2","a","562","5","4"
"congruent","1","3","6","a","460","3","4"
"incongruent","1","3","4","a","731","7","4"
"incongruent","1","4","4","a","531","8","4"
"congruent","1","2","2","l","572","4","4"
"congruent","1","3","3","l","642","6","4"
"congruent","1","2","4","a","515","2","4"
"incongruent","1","1","2","a","492","3","4"
"incongruent","1","3","3","a","506","6","4"
"congruent","1","4","3","l","563","7","4"
"incongruent","0","1","5","a","619","4","4"
"congruent","1","4","2","l","536","6","4"
