"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","3","4","a","2093","7","4"
"congruent","1","2","4","l","1422","6","4"
"incongruent","1","1","4","a","1275","5","4"
"congruent","1","3","5","a","913","2","4"
"congruent","1","1","3","l","1218","4","4"
"congruent","1","4","6","a","627","2","4"
"incongruent","1","4","4","a","828","8","4"
"incongruent","1","1","3","l","690","2","4"
"incongruent","1","1","3","l","616","2","4"
"congruent","1","2","2","l","750","4","4"
"congruent","1","1","3","a","650","2","4"
"congruent","1","2","2","l","563","4","4"
"congruent","1","4","3","l","674","7","4"
"incongruent","1","2","5","l","589","3","4"
"congruent","1","3","4","l","638","7","4"
"incongruent","1","3","3","a","575","6","4"
"congruent","1","1","3","a","587","2","4"
"incongruent","1","3","6","l","524","3","4"
"incongruent","1","1","5","l","775","4","4"
"congruent","1","2","4","a","853","2","4"
"incongruent","1","4","8","l","487","4","4"
"incongruent","1","4","2","a","651","6","4"
"congruent","1","2","6","a","788","4","4"
"congruent","1","4","7","a","626","3","4"
"congruent","1","3","2","l","1238","5","4"
"congruent","1","3","6","a","750","3","4"
"congruent","1","1","5","a","1591","4","4"
"incongruent","1","2","6","l","714","4","4"
"congruent","1","3","4","l","4258","7","4"
"congruent","1","4","7","a","574","3","4"
"incongruent","1","4","2","a","1040","6","4"
"congruent","1","2","6","a","1653","4","4"
"incongruent","1","3","2","a","748","5","4"
"congruent","1","1","5","a","627","4","4"
"incongruent","1","2","2","a","510","4","4"
"congruent","1","1","4","l","486","5","4"
"incongruent","1","1","3","a","459","4","4"
"congruent","1","1","3","l","1367","4","4"
"incongruent","1","3","6","l","612","3","4"
"incongruent","1","2","5","l","701","3","4"
"incongruent","1","3","4","a","650","7","4"
"incongruent","1","4","6","l","624","2","4"
"congruent","1","2","3","l","575","5","4"
"congruent","1","4","2","l","499","6","4"
"incongruent","1","4","7","l","549","3","4"
"congruent","1","3","3","l","387","6","4"
"congruent","1","1","2","l","611","3","4"
"congruent","1","4","4","l","550","8","4"
"congruent","1","4","2","l","601","6","4"
"incongruent","1","1","2","a","575","3","4"
"incongruent","1","1","2","a","463","3","4"
"congruent","1","2","4","a","608","2","4"
"incongruent","1","2","3","a","572","5","4"
"congruent","1","3","7","a","526","4","4"
"incongruent","1","3","7","l","638","4","4"
"incongruent","1","2","4","l","899","2","4"
"incongruent","1","2","4","a","561","6","4"
"incongruent","1","4","3","a","691","7","4"
"congruent","1","3","6","a","537","3","4"
"incongruent","1","4","8","l","678","4","4"
"incongruent","1","3","5","l","911","2","4"
"incongruent","1","3","2","a","680","5","4"
"incongruent","1","1","4","l","625","3","4"
"congruent","1","2","3","l","560","5","4"
"congruent","1","4","3","l","525","7","4"
"congruent","1","2","5","a","608","3","4"
"congruent","1","1","2","l","613","3","4"
"congruent","1","1","4","l","534","5","4"
"incongruent","1","3","3","a","473","6","4"
"congruent","1","4","6","a","513","2","4"
"incongruent","1","1","5","l","487","4","4"
"incongruent","1","1","3","a","523","4","4"
"congruent","1","4","4","l","485","8","4"
"congruent","1","3","5","a","413","2","4"
"incongruent","1","3","5","l","712","2","4"
"incongruent","1","3","7","l","744","4","4"
"incongruent","1","2","3","a","570","5","4"
"incongruent","1","1","4","l","495","3","4"
"incongruent","1","4","6","l","749","2","4"
"incongruent","1","2","4","a","509","6","4"
"incongruent","1","2","2","a","2001","4","4"
"incongruent","1","2","6","l","522","4","4"
"congruent","1","3","3","l","485","6","4"
"congruent","1","2","4","l","697","6","4"
"congruent","1","1","4","a","613","3","4"
"congruent","1","2","5","a","533","3","4"
"congruent","1","4","8","a","688","4","4"
"incongruent","1","2","4","l","509","2","4"
"congruent","1","3","2","l","484","5","4"
"incongruent","1","4","3","a","422","7","4"
"congruent","1","3","7","a","648","4","4"
"incongruent","1","4","7","l","584","3","4"
"incongruent","1","1","4","a","423","5","4"
"congruent","1","4","8","a","462","4","4"
"incongruent","1","4","4","a","587","8","4"
"congruent","1","1","4","a","775","3","4"
