"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","2","5","a","1141","3","3"
"congruent","1","3","4","l","665","7","3"
"congruent","1","2","5","a","619","3","3"
"incongruent","1","4","4","a","674","8","3"
"congruent","1","3","7","a","764","4","3"
"incongruent","1","4","6","l","590","2","3"
"incongruent","1","3","5","l","623","2","3"
"incongruent","1","3","6","l","677","3","3"
"incongruent","1","2","4","a","602","6","3"
"incongruent","1","4","8","l","750","4","3"
"congruent","1","4","4","l","615","8","3"
"incongruent","1","4","4","a","770","8","3"
"congruent","1","4","6","a","572","2","3"
"congruent","1","1","5","a","726","4","3"
"congruent","1","2","2","l","501","4","3"
"congruent","1","4","7","a","551","3","3"
"congruent","1","2","6","a","628","4","3"
"congruent","1","1","3","a","911","2","3"
"incongruent","1","4","7","l","728","3","3"
"incongruent","1","3","4","a","560","7","3"
"congruent","1","2","2","l","599","4","3"
"incongruent","1","2","2","a","734","4","3"
"incongruent","1","1","3","a","1017","4","3"
"congruent","1","2","6","a","563","4","3"
"incongruent","1","2","3","a","635","5","3"
"incongruent","1","3","3","a","496","6","3"
"congruent","1","4","2","l","464","6","3"
"congruent","1","2","3","l","497","5","3"
"incongruent","1","1","5","l","662","4","3"
"incongruent","1","4","2","a","482","6","3"
"incongruent","1","2","6","l","573","4","3"
"incongruent","1","4","7","l","576","3","3"
"incongruent","1","3","7","l","609","4","3"
"congruent","1","4","3","l","470","7","3"
"congruent","1","1","3","a","631","2","3"
"congruent","1","3","7","a","647","4","3"
"incongruent","1","2","2","a","655","4","3"
"congruent","1","1","2","l","544","3","3"
"incongruent","1","1","3","l","797","2","3"
"incongruent","1","2","4","a","561","6","3"
"congruent","1","3","2","l","446","5","3"
"incongruent","1","2","5","l","815","3","3"
"incongruent","1","4","2","a","534","6","3"
"congruent","1","1","3","l","449","4","3"
"congruent","1","1","4","a","520","3","3"
"congruent","1","3","2","l","471","5","3"
"congruent","1","1","5","a","559","4","3"
"congruent","1","3","4","l","412","7","3"
"incongruent","1","1","2","a","542","3","3"
"incongruent","1","4","3","a","942","7","3"
"incongruent","1","1","3","l","493","2","3"
"congruent","1","3","6","a","511","3","3"
"incongruent","1","4","8","l","519","4","3"
"incongruent","1","2","6","l","637","4","3"
"congruent","1","3","5","a","541","2","3"
"congruent","1","4","7","a","511","3","3"
"congruent","1","1","4","l","557","5","3"
"congruent","1","2","4","a","399","2","3"
"incongruent","1","2","5","l","408","3","3"
"congruent","1","1","4","l","477","5","3"
"congruent","1","4","3","l","453","7","3"
"incongruent","0","4","3","l","531","7","3"
"congruent","1","2","4","a","690","2","3"
"congruent","1","4","8","a","567","4","3"
