"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"congruent","1","2","5","a","1112","3","5"
"congruent","1","2","2","l","844","4","5"
"incongruent","1","3","7","l","700","4","5"
"congruent","1","4","7","a","587","3","5"
"incongruent","1","3","4","a","699","7","5"
"congruent","1","1","3","a","863","2","5"
"incongruent","1","1","2","a","598","3","5"
"congruent","1","3","3","l","777","6","5"
"incongruent","1","2","6","l","625","4","5"
"incongruent","1","2","3","a","700","5","5"
"incongruent","1","3","5","l","625","2","5"
"incongruent","1","3","2","a","661","5","5"
"congruent","1","3","6","a","610","3","5"
"congruent","1","2","4","a","588","2","5"
"congruent","1","2","2","l","606","4","5"
"incongruent","1","1","5","l","561","4","5"
"congruent","1","1","4","l","1083","5","5"
"incongruent","0","3","2","l","622","5","5"
"congruent","1","1","4","l","777","5","5"
"incongruent","1","2","5","l","713","3","5"
"congruent","1","4","7","a","849","3","5"
"incongruent","1","4","7","l","648","3","5"
"congruent","1","1","5","a","646","4","5"
"incongruent","1","2","6","l","561","4","5"
"incongruent","1","1","4","l","611","3","5"
"congruent","1","3","5","a","561","2","5"
"incongruent","1","3","3","a","639","6","5"
"incongruent","1","4","6","l","600","2","5"
"congruent","1","4","6","a","601","2","5"
"congruent","1","4","6","a","649","2","5"
"congruent","1","2","6","a","636","4","5"
"incongruent","1","2","4","l","585","2","5"
"congruent","1","1","5","a","501","4","5"
"incongruent","1","1","3","l","649","2","5"
"incongruent","1","3","6","l","635","3","5"
"incongruent","1","1","3","l","533","2","5"
"congruent","1","3","7","a","586","4","5"
"congruent","1","3","4","l","510","7","5"
"congruent","1","3","2","l","610","5","5"
"incongruent","1","2","2","a","486","4","5"
"congruent","1","3","3","l","436","6","5"
"congruent","1","1","3","l","585","4","5"
"incongruent","1","1","3","a","610","4","5"
"congruent","1","1","4","a","484","3","5"
"congruent","1","4","8","a","534","4","5"
"incongruent","1","4","2","a","461","6","5"
"congruent","1","2","4","a","472","2","5"
"incongruent","1","3","7","l","585","4","5"
"incongruent","1","1","5","l","600","4","5"
"congruent","0","3","2","a","693","5","5"
"incongruent","1","3","3","a","626","6","5"
"incongruent","1","4","6","l","687","2","5"
"congruent","1","4","3","l","708","7","5"
"incongruent","1","2","4","l","560","2","5"
"congruent","1","2","4","l","550","6","5"
"congruent","1","4","8","a","631","4","5"
"incongruent","1","2","5","l","660","3","5"
"congruent","1","3","7","a","536","4","5"
"incongruent","1","3","6","l","571","3","5"
"incongruent","1","4","7","l","748","3","5"
"congruent","1","2","3","l","708","5","5"
"incongruent","1","4","8","l","586","4","5"
"congruent","1","1","4","a","547","3","5"
"incongruent","1","4","3","a","585","7","5"
"incongruent","1","2","2","a","719","4","5"
"incongruent","1","4","8","l","680","4","5"
"incongruent","1","3","4","a","797","7","5"
"incongruent","1","2","4","a","547","6","5"
"incongruent","1","4","3","a","511","7","5"
"congruent","1","2","4","l","547","6","5"
"incongruent","1","1","4","l","522","3","5"
"congruent","1","1","3","l","508","4","5"
"congruent","1","1","3","a","597","2","5"
"incongruent","1","1","3","a","520","4","5"
"incongruent","1","4","4","a","511","8","5"
"congruent","1","1","2","l","669","3","5"
"congruent","1","4","2","l","509","6","5"
"congruent","1","1","2","l","534","3","5"
"congruent","1","4","2","l","536","6","5"
"congruent","1","3","6","a","648","3","5"
"incongruent","1","2","3","a","573","5","5"
"congruent","1","2","6","a","458","4","5"
"incongruent","1","1","4","a","510","5","5"
"incongruent","1","1","2","a","582","3","5"
"congruent","1","4","4","l","645","8","5"
"incongruent","1","2","4","a","630","6","5"
"congruent","1","3","4","l","634","7","5"
"congruent","1","2","3","l","646","5","5"
"congruent","1","4","4","l","624","8","5"
"incongruent","1","3","5","l","519","2","5"
"incongruent","1","4","2","a","606","6","5"
"congruent","1","3","5","a","471","2","5"
"incongruent","1","4","4","a","520","8","5"
"congruent","1","2","5","a","562","3","5"
"congruent","1","4","3","l","593","7","5"
"incongruent","1","1","4","a","461","5","5"
"incongruent","1","1","4","l","581","3","5"
"incongruent","1","3","5","l","553","2","5"
"congruent","1","4","7","a","555","3","5"
"congruent","1","2","2","l","536","4","5"
"incongruent","1","3","4","a","570","7","5"
"congruent","1","2","6","a","605","4","5"
"congruent","1","1","2","l","495","3","5"
"incongruent","1","1","5","l","556","4","5"
"incongruent","1","4","7","l","481","3","5"
"congruent","1","3","4","l","657","7","5"
"incongruent","1","3","2","a","457","5","5"
"congruent","1","2","3","l","593","5","5"
"congruent","1","4","8","a","560","4","5"
"congruent","1","1","4","a","507","3","5"
"incongruent","1","2","3","a","594","5","5"
"congruent","1","1","3","a","446","2","5"
"incongruent","1","4","8","l","496","4","5"
"incongruent","1","3","7","l","858","4","5"
"incongruent","1","3","5","l","698","2","5"
"congruent","1","3","4","l","733","7","5"
"incongruent","1","1","3","l","532","2","5"
"incongruent","1","4","8","l","556","4","5"
"congruent","1","3","7","a","595","4","5"
"incongruent","1","2","5","l","506","3","5"
"congruent","1","3","3","l","632","6","5"
"congruent","1","1","4","a","494","3","5"
"incongruent","1","4","6","l","542","2","5"
"incongruent","1","2","3","a","479","5","5"
"incongruent","1","3","3","a","620","6","5"
"congruent","1","3","3","l","494","6","5"
"incongruent","1","3","2","a","669","5","5"
"congruent","1","3","2","l","517","5","5"
"congruent","1","2","5","a","630","3","5"
"incongruent","0","4","3","l","506","7","5"
"incongruent","1","1","2","a","788","3","5"
"congruent","1","1","5","a","1106","4","5"
"incongruent","1","2","6","l","610","4","5"
"congruent","1","4","2","l","682","6","5"
"incongruent","1","3","6","l","683","3","5"
"incongruent","1","2","4","l","1319","2","5"
"incongruent","1","4","2","a","1057","6","5"
"incongruent","1","1","2","a","555","3","5"
"congruent","1","4","6","a","807","2","5"
"congruent","1","2","2","l","931","4","5"
"congruent","1","4","3","l","531","7","5"
"incongruent","1","4","4","a","1027","8","5"
"incongruent","1","1","4","l","757","3","5"
"incongruent","1","1","4","a","1629","5","5"
"incongruent","1","1","3","l","517","2","5"
"incongruent","1","2","2","a","669","4","5"
"congruent","1","4","4","l","803","8","5"
"congruent","1","4","2","l","741","6","5"
"congruent","1","1","4","l","1182","5","5"
"incongruent","1","2","2","a","542","4","5"
"congruent","1","3","5","a","432","2","5"
"incongruent","1","1","3","a","628","4","5"
"incongruent","1","3","6","l","855","3","5"
"congruent","1","4","4","l","1244","8","5"
"incongruent","1","2","6","l","492","4","5"
"incongruent","1","3","4","a","552","7","5"
"incongruent","1","1","5","l","503","4","5"
"congruent","1","1","5","a","715","4","5"
"congruent","1","4","8","a","582","4","5"
"congruent","1","2","4","a","491","2","5"
"congruent","1","1","4","l","632","5","5"
"congruent","1","2","4","l","616","6","5"
"incongruent","1","3","7","l","514","4","5"
"congruent","1","3","7","a","566","4","5"
"incongruent","1","1","4","a","481","5","5"
"congruent","1","4","6","a","542","2","5"
"congruent","1","4","3","l","591","7","5"
"incongruent","1","1","3","a","555","4","5"
"incongruent","1","2","4","l","801","2","5"
"incongruent","1","4","6","l","766","2","5"
"congruent","1","1","3","l","554","4","5"
"congruent","1","3","6","a","641","3","5"
"incongruent","1","4","4","a","529","8","5"
"incongruent","1","4","3","a","505","7","5"
"congruent","1","3","6","a","453","3","5"
"congruent","0","3","2","a","457","5","5"
"congruent","1","2","4","l","568","6","5"
"congruent","1","4","7","a","591","3","5"
"incongruent","1","2","5","l","568","3","5"
"congruent","1","2","4","a","494","2","5"
"congruent","1","2","5","a","492","3","5"
"incongruent","0","4","7","a","503","3","5"
"incongruent","1","4","2","a","751","6","5"
"congruent","1","1","2","l","567","3","5"
"incongruent","1","2","4","a","466","6","5"
"congruent","1","2","6","a","517","4","5"
"congruent","1","3","5","a","551","2","5"
"congruent","1","2","3","l","502","5","5"
"incongruent","1","3","3","a","554","6","5"
"congruent","1","1","3","l","619","4","5"
"incongruent","1","2","4","a","617","6","5"
"congruent","1","1","3","a","664","2","5"
