"congruity","correct","distance","leftStimulus","response","response_time","rightStimulus","subject_nr"
"incongruent","1","3","3","a","1797","6","1"
"congruent","1","1","3","l","813","4","1"
"incongruent","1","1","4","a","932","5","1"
"incongruent","1","3","7","l","629","4","1"
"incongruent","1","3","4","a","1273","7","1"
"incongruent","1","2","6","l","610","4","1"
"congruent","1","1","3","a","1075","2","1"
"incongruent","1","3","2","a","1119","5","1"
"incongruent","1","1","3","a","1117","4","1"
"incongruent","1","2","4","l","664","2","1"
"incongruent","1","3","6","l","602","3","1"
"incongruent","1","1","4","l","754","3","1"
"congruent","1","2","4","l","601","6","1"
"incongruent","1","3","5","l","805","2","1"
"congruent","1","3","4","l","626","7","1"
"incongruent","1","2","6","l","613","4","1"
"congruent","1","1","4","l","682","5","1"
"congruent","1","3","2","l","572","5","1"
"incongruent","1","2","5","l","938","3","1"
"congruent","1","4","2","l","621","6","1"
"congruent","1","2","4","l","617","6","1"
"congruent","1","1","4","a","863","3","1"
"incongruent","1","1","3","l","851","2","1"
"incongruent","1","1","2","a","1793","3","1"
"congruent","1","2","6","a","2831","4","1"
"congruent","1","2","2","l","657","4","1"
"incongruent","1","1","4","l","693","3","1"
"congruent","1","4","3","l","768","7","1"
"incongruent","1","3","7","l","829","4","1"
"congruent","1","3","3","l","664","6","1"
"incongruent","1","2","4","l","1083","2","1"
"congruent","1","3","6","a","955","3","1"
"congruent","1","3","5","a","1282","2","1"
"congruent","1","2","2","l","630","4","1"
"incongruent","1","1","2","a","685","3","1"
"incongruent","1","3","3","a","887","6","1"
"congruent","1","1","2","l","738","3","1"
"congruent","1","3","4","l","794","7","1"
"incongruent","1","3","4","a","1382","7","1"
"incongruent","1","4","3","a","2778","7","1"
"incongruent","1","4","6","l","1406","2","1"
"congruent","1","4","2","l","969","6","1"
"incongruent","1","1","3","l","704","2","1"
"incongruent","1","4","7","l","722","3","1"
"incongruent","1","1","5","l","753","4","1"
"congruent","1","3","6","a","920","3","1"
"incongruent","1","4","2","a","1079","6","1"
"congruent","1","2","5","a","758","3","1"
"congruent","1","1","2","l","908","3","1"
"congruent","1","2","4","a","671","2","1"
"congruent","1","4","3","l","566","7","1"
"incongruent","1","4","8","l","709","4","1"
"congruent","1","4","6","a","694","2","1"
"incongruent","1","3","6","l","632","3","1"
"incongruent","1","4","3","a","1035","7","1"
